"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,11,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.699733333333333,0.0798415699129764,0.536666666666667,0.13174081597492,0.756736842105263,0.0945974223684527,0.66246956964604,0.073295852880426,0.646701754385965,0.0764874169372842,0.571403549343431,0.106342243368953,0.627792663219134,0.104842098218776,0.627792663219134,0.104842098218776,0.688811254365851,0.0657998342102653,0.297918295387528,0.154095402710531,0.30439945285725,0.155610407749102,0.647420830003148,0.0916280253361033
"RF",NA,NA,11,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.699238471177945,0.076722714706158,0.535095238095238,0.124563242100822,0.753684210526316,0.0936406543552187,0.660152279093456,0.0684419175664994,0.644389724310777,0.07112507702745,0.569687059774738,0.0983688778721612,0.625663509692922,0.102203612081776,0.625663509692922,0.102203612081776,0.686944609541234,0.0610018174130493,0.293359308918696,0.143559378378376,0.300062127062114,0.145798004736118,0.653474031499495,0.0851773587570517
"RF",NA,NA,11,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.702679573934837,0.0788262192188822,0.527714285714286,0.124781363569237,0.756184210526316,0.0897347217879251,0.658378151260504,0.0690115974138953,0.641949248120301,0.0719956439551612,0.564882734373739,0.0998544716560446,0.624268293797706,0.10328413466533,0.624268293797706,0.10328413466533,0.684150897220143,0.0617031238208691,0.288672017582477,0.145275997124349,0.295432064801586,0.147402692237054,0.652889792300609,0.0898813251636351
"RF",NA,NA,11,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.702231077694236,0.0775623967454637,0.52552380952381,0.121217398359667,0.760447368421053,0.0961029268305528,0.659797810033104,0.0660665635677004,0.642985588972431,0.0682005891740627,0.565044302417368,0.0971203667201087,0.630165824371707,0.1077363861649,0.630165824371707,0.1077363861649,0.683933396258672,0.0561736943642191,0.291265402444976,0.138779225222195,0.2991659545213,0.142059917187993,0.653734249960809,0.0901295457867334
"RF",NA,NA,11,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.709480200501253,0.0763291164729607,0.529190476190476,0.118857288930116,0.756157894736842,0.0920731469791215,0.658959511077158,0.0624682349414792,0.642674185463659,0.064566237729531,0.566346063171637,0.0896464854907492,0.627274267399267,0.0969144963613953,0.627274267399267,0.0969144963613953,0.68467365584877,0.0567790399805811,0.290303225298745,0.130338280959012,0.297870442109262,0.132956121671022,0.665824183683517,0.0862983612954363
"RF",NA,NA,11,"gini",20,NA,NA,NA,NA,NA,NA,NA,0.707454135338346,0.0751988113311585,0.527,0.122159529281915,0.756342105263158,0.0966694707200471,0.658041507512096,0.0696958130731155,0.641671052631579,0.0716568186930778,0.5649145460113,0.0985495431692383,0.626556995292289,0.109890830807983,0.626556995292289,0.109890830807983,0.683391668487782,0.0597815164293157,0.288398524567845,0.145581192985737,0.295895328675571,0.149021064075318,0.663565546645952,0.0860792549331626
"RF",NA,NA,11,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.711759022556391,0.0772292767540059,0.517809523809524,0.125484689841042,0.766157894736842,0.0865690291952235,0.659760631525337,0.0662963585326169,0.641983709273183,0.06997169058506,0.560622992812054,0.101147568772654,0.629178028670676,0.103296973165579,0.629178028670676,0.103296973165579,0.682665670288517,0.0590499319123736,0.289375799577589,0.141387636894382,0.297052089549712,0.143641551957674,0.673903876000352,0.0848382750035708
"RF",NA,NA,13,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.696975187969925,0.0780470958041249,0.533714285714286,0.119430226917955,0.753,0.0907660827105298,0.659183346065699,0.0661740485790015,0.643357142857143,0.068529949153755,0.568596711792402,0.0957090809065102,0.623650879864889,0.0969626106314158,0.623650879864889,0.0969626106314158,0.685445572588597,0.05802486177181,0.291337259486072,0.138430023064093,0.297314107165697,0.140012034431892,0.643654228716435,0.0872584158633574
"RF",NA,NA,13,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.702583333333333,0.0787463893198907,0.533095238095238,0.126909023605758,0.75771052631579,0.094704536254408,0.661600203717851,0.0674067234609806,0.645402882205514,0.0701273009349907,0.569172865250235,0.10014991050666,0.629054076642312,0.101592576386303,0.629054076642312,0.101592576386303,0.687175049823546,0.059939762558093,0.295643350818481,0.141716764205616,0.302770759483315,0.143665016530083,0.650571027606037,0.0919443961561584
"RF",NA,NA,13,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.703174561403509,0.079385998950855,0.532571428571429,0.125260158963019,0.759868421052632,0.0871025969258395,0.662550802139037,0.0626426943137427,0.64621992481203,0.0660899901027722,0.569536466442139,0.0958055622741417,0.629770331792391,0.0962281984111263,0.629770331792391,0.0962281984111262,0.688032585874439,0.0583865462295597,0.297220974576797,0.133075339439141,0.304404333614946,0.135388165302556,0.649134374877527,0.0959554167340655
"RF",NA,NA,13,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.707306015037594,0.0763063135579332,0.539238095238095,0.121849885435842,0.752078947368421,0.0864034440045419,0.660947542653425,0.0661472588268078,0.645658521303258,0.06939954772978,0.572080035476481,0.0980204688988448,0.624346614170144,0.098146531469833,0.624346614170144,0.098146531469833,0.688258881045568,0.058506633992773,0.295522637534314,0.140051087353182,0.301365101926379,0.141468948404516,0.659883614274261,0.0881601161019972
"RF",NA,NA,13,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.710026817042607,0.0736661834614282,0.544714285714286,0.121793056609605,0.752605263157895,0.0866275723963272,0.663577794754265,0.0604097318879753,0.64865977443609,0.0638831195739994,0.576248793766718,0.0913793301598242,0.627873788062643,0.092446013694435,0.627873788062643,0.092446013694435,0.691644683096177,0.056139949734836,0.301386633540128,0.12841962541948,0.307838971893543,0.130270055427556,0.661895436020982,0.0830159917648484
