"model","metric","n","mean","sd","median","min","max","se","ci_lower","ci_upper"
"RF","BalancedAccuracy",100,0.669121553884712,0.0644560196921339,0.669736842105263,0.528571428571429,0.830827067669173,0.00644560196921339,0.65633208119422,0.681911026575204
"RF","NPV",100,0.718759713071138,0.057821770591887,0.714285714285714,0.6,0.857142857142857,0.0057821770591887,0.707286619333222,0.730232806809054
"RF","PPV",100,0.627688715223545,0.0848980214734073,0.620192307692307,0.454545454545454,0.909090909090909,0.00848980214734073,0.610843105887177,0.644534324559913
"RF","ROC",100,0.720000626566416,0.0717274355519169,0.720551378446115,0.492857142857143,0.883333333333334,0.00717274355519169,0.705768347214823,0.73423290591801
"RF","Sens",100,0.621190476190476,0.106137660850978,0.642857142857143,0.333333333333333,0.866666666666667,0.0106137660850978,0.600130461604252,0.6422504907767
"RF","Spec",100,0.717052631578947,0.0932915028996575,0.736842105263158,0.473684210526316,0.947368421052632,0.00932915028996575,0.6985415734297,0.735563689728195
"RLR","BalancedAccuracy",100,0.609385338345865,0.0655601958695809,0.611528822055138,0.460714285714286,0.768796992481203,0.00655601958695809,0.59637677314649,0.62239390354524
"RLR","NPV",100,0.641808436433426,0.0435575718340227,0.642857142857143,0.555555555555556,0.772727272727273,0.00435575718340227,0.633165669193124,0.650451203673727
"RLR","PPV",100,0.680463453213453,0.157739319825986,0.666666666666667,0.25,1,0.0157739319825986,0.64916454998041,0.711762356446496
"RLR","ROC",100,0.711267794486216,0.0779648826243559,0.719022556390978,0.488721804511278,0.896666666666667,0.00779648826243559,0.695797870313046,0.726737718659385
"RLR","Sens",100,0.349428571428571,0.111019917225064,0.333333333333333,0.0714285714285714,0.642857142857143,0.0111019917225064,0.327399811256402,0.371457331600741
"RLR","Spec",100,0.869342105263158,0.0800432315196783,0.894736842105263,0.6,1,0.00800432315196783,0.853459791579048,0.885224418947268
"XGB","BalancedAccuracy",100,0.638956140350877,0.0746639538428392,0.635338345864662,0.458646616541353,0.81390977443609,0.00746639538428392,0.624141192062134,0.65377108863962
"XGB","NPV",100,0.680583546867599,0.0610249417653407,0.672619047619048,0.545454545454545,0.842105263157895,0.00610249417653407,0.668474874475563,0.692692219259636
"XGB","PPV",100,0.62338289703073,0.111647983571342,0.625,0.333333333333333,0.888888888888889,0.0111647983571342,0.60122951486946,0.645536279192
"XGB","ROC",100,0.716569423558897,0.078340063495558,0.723684210526316,0.462406015037594,0.87,0.0078340063495558,0.701025055361273,0.732113791756522
"XGB","Sens",100,0.519333333333333,0.125813179869822,0.5,0.142857142857143,0.8,0.0125813179869822,0.494369268910264,0.544297397756403
"XGB","Spec",100,0.758578947368421,0.0967421848893578,0.769736842105263,0.5,0.95,0.00967421848893578,0.739383199049324,0.777774695687518
