"model","metric","n","mean","sd","median","min","max","se","ci_lower","ci_upper"
"RF","BalancedAccuracy",100,0.728631578947368,0.0561543780135295,0.728853383458647,0.578571428571429,0.866541353383459,0.00561543780135295,0.717489332071345,0.739773825823392
"RF","NPV",100,0.811277335618869,0.0885769547184895,0.8125,0.64,1,0.00885769547184895,0.793701746111636,0.828852925126102
"RF","PPV",100,0.676575282742987,0.0945499132979979,0.666666666666667,0.518518518518519,1,0.00945499132979979,0.657814528669296,0.695336036816678
"RF","ROC",100,0.720000626566416,0.0717274355519169,0.720551378446115,0.492857142857143,0.883333333333334,0.00717274355519169,0.705768347214823,0.73423290591801
"RF","Sens",100,0.751,0.16378012281315,0.785714285714286,0.357142857142857,1,0.016378012281315,0.718502470398124,0.783497529601876
"RF","Spec",100,0.706263157894737,0.143811881827304,0.718421052631579,0.31578947368421,1,0.0143811881827304,0.677727760518609,0.734798555270865
"RF","threshold",100,0.45406589191817,0.0870907691021137,0.456145524152248,0.211016077942308,0.648507191877867,0.00870907691021137,0.436785193880259,0.471346589956081
"RLR","BalancedAccuracy",100,0.715812030075188,0.0537878001179148,0.716917293233083,0.573308270676692,0.858333333333333,0.00537878001179148,0.705139363596937,0.726484696553439
"RLR","NPV",100,0.815409740100863,0.0957679255574535,0.804761904761905,0.625,1,0.00957679255574535,0.796407305969926,0.834412174231799
"RLR","PPV",100,0.679956700779291,0.133214746896977,0.636363636363636,0.461538461538462,1,0.0133214746896977,0.653524004879864,0.706389396678719
"RLR","ROC",100,0.711267794486216,0.0779648826243559,0.719022556390978,0.488721804511278,0.896666666666667,0.00779648826243559,0.695797870313046,0.726737718659385
"RLR","Sens",100,0.752571428571429,0.193541851881904,0.8,0.214285714285714,1,0.0193541851881904,0.714168526236878,0.790974330905979
"RLR","Spec",100,0.679052631578947,0.191535068088961,0.640789473684211,0.3,1,0.0191535068088961,0.64104791868641,0.717057344471485
"RLR","threshold",100,0.420600738720048,0.0532106631831467,0.409080154309671,0.33439956435021,0.568311608500174,0.00532106631831467,0.410042588730733,0.431158888709364
"XGB","BalancedAccuracy",100,0.718748746867168,0.057652083418259,0.71578947368421,0.567857142857143,0.840225563909774,0.0057652083418259,0.70730932274589,0.730188170988446
"XGB","NPV",100,0.805403457523626,0.0927057946345626,0.8,0.620689655172414,1,0.00927057946345626,0.787008616601207,0.823798298446045
"XGB","PPV",100,0.669837167515708,0.108009991608282,0.642857142857143,0.458333333333333,1,0.0108009991608282,0.648405641886722,0.691268693144694
"XGB","ROC",100,0.716569423558897,0.078340063495558,0.723684210526316,0.462406015037594,0.87,0.0078340063495558,0.701025055361273,0.732113791756522
"XGB","Sens",100,0.74852380952381,0.163928856552973,0.785714285714286,0.214285714285714,1,0.0163928856552973,0.715996767921151,0.781050851126468
"XGB","Spec",100,0.688973684210526,0.164459784633305,0.68421052631579,0.3,1,0.0164459784633305,0.656341294958161,0.721606073462892
"XGB","threshold",100,0.409949188455939,0.104982776130183,0.406219109892845,0.188759475946427,0.676762640476227,0.0104982776130183,0.389118328053728,0.43078004885815
