"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Age",100,100,1,1,1,0.0286127237937633,0.00570423304069807,0.0279691638484417,1,0.19538118609058
"RF","Thickness_in_throat",100,100,1,2.5,1,0.00820551117065805,0.00256725071516171,0.00797712320453528,0.301012883124246,0.0879333796746143
"RF","Gasp_for_air",100,100,1,4,0.99,0.00643611183494379,0.00194268550270032,0.0065130761503073,0.24040748036226,0.0665407943557847
"RF","Loss_of_appetite",100,100,1,4,0.97,0.00596686524600713,0.00286526753375557,0.0055173949578646,0.224334862981224,0.0981410410861272
"RF","Back_pain",100,100,1,4,0.96,0.00550421894433096,0.00213697568251455,0.00537048500185854,0.208488318403366,0.0731956146457375
"RF","Sex",100,99,0.99,9,0.61,0.00296912290996124,0.00173321654771071,0.0028054245290413,0.121656299705184,0.0593660712014138
"RF","No_comorbidities",100,100,1,9,0.66,0.00286396979307795,0.00171500488891719,0.00253938046382228,0.118054598906638,0.0587422861157822
"RF","Current_daily_smoker",100,98,0.98,9,0.61,0.00266662997371853,0.00184518909680579,0.00251696565292655,0.111295322472058,0.0632013509481726
"RF","Early_satiety",100,100,1,10,0.54,0.00254399322639481,0.00146079988054966,0.00226622865595036,0.10709477298899,0.0500352652611543
"RF","Antibiotics_last_2_y",100,97,0.97,10,0.54,0.00243215786644005,0.0016602806526709,0.00220637778648954,0.103264192239759,0.0568678735331586
"RF","Irritating_cough",100,99,0.99,11,0.48,0.00226996815813238,0.00149449535309874,0.00215026393649405,0.0977088761517332,0.0511894013817427
"RF","Weight_reduction_last_2_y",100,99,0.99,12,0.45,0.00225378167970579,0.00155351493083944,0.001887268570312,0.0971544574715963,0.0532109378476042
"RF","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,100,1,11.5,0.41,0.00200679234606165,0.000956151683684095,0.00185017259863565,0.0886945876495162,0.0327500732715228
"RF","Living_alone",100,93,0.93,13,0.38,0.00191863282038298,0.00139021801238389,0.00172157087569421,0.0856749507291119,0.0476176976371939
"RF","Weight_increase_last_2_y",100,96,0.96,17,0.1,0.00114637151657714,0.000792917899859196,0.00099389243709005,0.0592234841720974,0.0271589955462237
"RF","Legs_do_not_support",100,100,1,18,0.05,0.00100908123959561,0.000543000000372007,0.000973170710004955,0.0545210225152936,0.0185988165916315
"RF","More_irritable",100,98,0.98,20,0.03,0.000911742384618514,0.000605330227111482,0.000774313312796216,0.0511869755360706,0.0207337492885893
"RF","Pain_radiated_between_shoulder_blades_to_chest",100,100,1,18,0.01,0.000887976061538683,0.000431474580480739,0.000828477316386606,0.0503729322879741,0.0147788518983694
"RF","Persisting_pain",100,86,0.86,23,0.08,0.000795726304202601,0.000818785384594373,0.000580466639566114,0.0472131968991328,0.0280450077081884
"RF","Poorer_condition_lower_fitness",100,93,0.93,24,0,0.000702238407195044,0.000503804594857684,0.000627795780744272,0.0440110527945477,0.0172562969638302
"RF","Hard_to_get_air",100,95,0.95,26,0.02,0.000681987043818408,0.0005446180509701,0.000519602961561212,0.0433174038204879,0.0186542380028457
"RF","Rougher_voice",100,96,0.96,24.5,0.01,0.000681710815372849,0.000532024489609081,0.00063246166518136,0.0433079424536503,0.0182228837895334
"RF","COPD",100,89,0.89,26,0.01,0.000550091512429374,0.000486236784593659,0.000501179316593476,0.0387997227967682,0.0166545649550027
"RF","Lumps_pieces_in_sputum",100,98,0.98,27,0,0.000505957697076453,0.000303148335741321,0.000501813125503942,0.037288052931804,0.0103834259533121
"RF","Less_Smoking",100,81,0.81,29,0.02,0.000500577160521055,0.000520106550975805,0.00044506880929319,0.0371037589861505,0.0178146709817272
"RF","Panic_sensation",100,93,0.93,27.5,0,0.00048764784201227,0.000355478645031551,0.000447510105057846,0.0366609044310217,0.0121758418354586
"RF","Became_weaker",100,93,0.93,31,0,0.000484117577779076,0.000413351341352539,0.000381451837727878,0.0365399859467708,0.0141580953599518
"RF","Feeling_that_something_is_wrong",100,96,0.96,30,0,0.000463443367487392,0.00030609448471505,0.000416782581491726,0.0358318536353004,0.0104843373425873
"RF","Asthma",100,85,0.85,29.5,0.01,0.000463297527513686,0.000488204427734794,0.000411653857312629,0.0358268583297372,0.0167219605974975
"RF","More_down",100,86,0.86,29,0,0.000438109305395884,0.000392976664677191,0.000430383812393834,0.0349641122466482,0.0134602226631949
"RF","Pain_comes_and_goes",100,83,0.83,33.5,0.02,0.000424170319492802,0.000518056383696026,0.000348908748871249,0.0344866746000421,0.0177444487253871
"RF","Cold_flu_pneumonia_last_2_y",100,69,0.69,34.5,0.01,0.00042031056999861,0.000627609405022885,0.000281917334099496,0.034354470598416,0.0214968548935666
"RF","Labored_breathing",100,89,0.89,34,0,0.000383917482191732,0.000391209951728657,0.000270971016011204,0.0331079358565016,0.0133997092744706
"RF","Angina_pectoris",100,81,0.81,31,0,0.000375624665116617,0.000388061334886405,0.000370202201443095,0.0328238905826483,0.0132918629630042
"RF","Pneumonia",100,73,0.73,36,0,0.00031723966442205,0.000432852361454276,0.000255560050790838,0.0308240896270744,0.0148260436029968
"RF","Hard_to_catch_breath",100,89,0.89,37.5,0,0.000296574683539732,0.000301206679481043,0.000246108176825786,0.0301162734410036,0.0103169204125309
"RF","Less_will_to_do_things",100,79,0.79,37.5,0,0.000290399934820905,0.000366282203550637,0.000222232712693567,0.0299047761687343,0.0125458849354508
"RF","Less_energy_to_do_things",100,68,0.68,39.5,0.01,0.000277427977427119,0.00056726746823003,0.000181837281506808,0.0294604611480415,0.0194300250327466
"RF","Breathing_sound_rattled_wheezed",100,81,0.81,42,0,0.000231974134298567,0.000305367986104784,0.000143527602957332,0.027903577738919,0.0104594533381727
"RF","Feeling_chilly",100,72,0.72,44,0,0.000192380922722812,0.000314191763747938,0.000111707067108638,0.0265474324721295,0.010761685054412
"RF","Increased_need_for_sleep",100,61,0.61,41,0.01,0.000186652097344851,0.000445723292151506,0.000166122219982039,0.0263512089501826,0.0152668982608926
