"resample","model","Variable","Importance","StDev"
"Fold01.Rep01","RLR","Loss_of_appetite",0.0452631578947367,0.0337537324090594
"Fold01.Rep01","RLR","Antibiotics_last_2_y",0.0177543859649122,0.0263947734609498
"Fold01.Rep01","RLR","Early_satiety",0.0171929824561402,0.017597483390017
"Fold01.Rep01","RLR","Gasp_for_air",0.0162105263157894,0.0158651169723271
"Fold01.Rep01","RLR","Age",0.0151578947368421,0.0378666137969781
"Fold01.Rep01","RLR","Irritating_cough",0.0110877192982454,0.00734502619910336
"Fold01.Rep01","RLR","Pain_comes_and_goes",0.00975438596491224,0.00517481654402185
"Fold01.Rep01","RLR","Weight_increase_last_2_y",0.0096842105263157,0.0193948044902706
"Fold01.Rep01","RLR","Living_alone",0.00905263157894726,0.0324081762077687
"Fold01.Rep01","RLR","Lost_sense_of_smell",0.00828070175438591,0.0162077702742374
"Fold01.Rep01","RLR","Weight_reduction_last_2_y",0.0081403508771929,0.0213776087182144
"Fold01.Rep01","RLR","Angina_pectoris",0.00673684210526318,0.00534440217955361
"Fold01.Rep01","RLR","Feeling_chilly",0.00533333333333335,0.0134918126045199
"Fold01.Rep01","RLR","Sex",0.00498245614035087,0.00783271175398538
"Fold01.Rep01","RLR","Less_energy_to_do_things",0.00421052631578949,0.0109819059148905
"Fold01.Rep01","RLR","Legs_do_not_support",0.00259649122807017,0.0085304388593581
"Fold01.Rep01","RLR","Back_pain",0.00224561403508763,0.0306606343218709
"Fold01.Rep01","RLR","Pain_radiated_between_shoulder_blades_to_chest",0.000210526315789463,0.00249722680843731
"Fold01.Rep01","RLR","Lumps_pieces_in_sputum",7.01754385964867e-05,0.00532792233094624
"Fold01.Rep01","RLR","University_education",0,0
"Fold01.Rep01","RLR","Born_in_sweden",0,0
"Fold01.Rep01","RLR","Emphysema",0,0
"Fold01.Rep01","RLR","Asbestos",0,0
"Fold01.Rep01","RLR","Chronic_bronchitis",0,0
"Fold01.Rep01","RLR","Pleural_fluid",0,0
"Fold01.Rep01","RLR","Anemia",0,0
"Fold01.Rep01","RLR","Heart_disease",0,0
"Fold01.Rep01","RLR","No_comorbidities",0,0
"Fold01.Rep01","RLR","More_Smoking",0,0
"Fold01.Rep01","RLR","Hard_to_breathe_deeply",0,0
"Fold01.Rep01","RLR","Labored_breathing",0,0
"Fold01.Rep01","RLR","Wheezing",0,0
"Fold01.Rep01","RLR","Hard_to_catch_breath",0,0
"Fold01.Rep01","RLR","Feeling_of_choking",0,0
"Fold01.Rep01","RLR","Discomfort_sensation",0,0
"Fold01.Rep01","RLR","Panic_sensation",0,0
"Fold01.Rep01","RLR","Stabbing_sensation_from_taking_deep_breaths",0,0
"Fold01.Rep01","RLR","Thickness_in_throat",0,0
"Fold01.Rep01","RLR","Lump_in_the_chest",0,0
"Fold01.Rep01","RLR","Sores_in_chest",0,0
"Fold01.Rep01","RLR","Uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Breathing_sound_squeaked_as_if_through_a_pipe",0,0
"Fold01.Rep01","RLR","Breathing_sound_whistling",0,0
"Fold01.Rep01","RLR","Breathing_sound_jarred_raspy",0,0
"Fold01.Rep01","RLR","Breathing_sound_bubbled_gurgled",0,0
"Fold01.Rep01","RLR","Breathing_sound_hissed",0,0
"Fold01.Rep01","RLR","Mucus_cough",0,0
"Fold01.Rep01","RLR","Dry_cough",0,0
"Fold01.Rep01","RLR","Barking_cough",0,0
"Fold01.Rep01","RLR","Hacking_cough",0,0
"Fold01.Rep01","RLR","Wheezing_cough",0,0
"Fold01.Rep01","RLR","Losing_breath_due_to_coughing",0,0
"Fold01.Rep01","RLR","Coughing_fits",0,0
"Fold01.Rep01","RLR","Difficulty_suppressing_the_cough",0,0
"Fold01.Rep01","RLR","Slight_cough",0,0
