"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Age",100,97,0.97,1,0.97,0.0867357268170426,0.0472292865504224,0.0856766917293234,0.00472292865504224,0.0773644117185746,0.0961070419155106
"RF","Thickness_in_throat",100,87,0.87,4.5,0.75,0.0228089097744361,0.0193558184711053,0.0183303258145363,0.00193558184711053,0.0189682954622164,0.0266495240866558
"RF","Gasp_for_air",100,72,0.72,5,0.6,0.0181785162907268,0.0181907599346011,0.0161766917293233,0.00181907599346011,0.0145690748682794,0.0217879577131743
"RF","Back_pain",100,78,0.78,6.5,0.63,0.0130565488721804,0.0164967056712606,0.0140175438596491,0.00164967056712606,0.00978324456835575,0.0163298531760051
"RF","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,82,0.82,10,0.55,0.0090571679197995,0.0106123952828943,0.00867355889724311,0.00106123952828943,0.00695143845807404,0.011162897381525
"RF","Loss_of_appetite",100,75,0.75,9,0.57,0.00891950125313284,0.0195379098234045,0.00936090225563913,0.00195379098234045,0.00504275606611624,0.0127962464401494
"RF","Sex",100,70,0.7,9,0.53,0.00676547619047619,0.013726201633403,0.00880275689223043,0.0013726201633403,0.00404189999428706,0.00948905238666533
"RF","No_comorbidities",100,68,0.68,9,0.57,0.00668597744360903,0.0170222268920738,0.0086666666666667,0.00170222268920738,0.00330839832830874,0.0100635565589093
"RF","Antibiotics_last_2_y",100,69,0.69,11.5,0.45,0.00504905764411028,0.016580197242901,0.00780200501253131,0.0016580197242901,0.00175918680110923,0.00833892848711134
"RF","Weight_reduction_last_2_y",100,70,0.7,14,0.32,0.00409159147869674,0.0108284119219653,0.00627067669172931,0.00108284119219653,0.00194299962926435,0.00624018332812913
"RF","Living_alone",100,62,0.62,15,0.4,0.00408100000000001,0.0135737279043302,0.00500350877192979,0.00135737279043302,0.00138767789960065,0.00677432210039937
"RF","Weight_increase_last_2_y",100,66,0.66,28.5,0.23,0.00328530325814536,0.00663261412386132,0.00285714285714286,0.000663261412386132,0.00196924872035565,0.00460135779593508
"RF","Early_satiety",100,63,0.63,17.5,0.33,0.00314187468671679,0.011449282988231,0.00395488721804521,0.0011449282988231,0.000870088547840995,0.00541366082559259
"RF","Current_daily_smoker",100,60,0.6,19.5,0.4,0.002530671679198,0.0210384285018559,0.00327719298245616,0.00210384285018559,-0.00164380896761414,0.00670515232601014
"RF","Asthma",100,65,0.65,28.5,0.1,0.00173108270676692,0.00685742481770476,0.00146616541353386,0.000685742481770476,0.000370420850015001,0.00309174456351884
"RF","Pain_radiated_between_shoulder_blades_to_chest",100,56,0.56,40.5,0.07,0.00169882957393484,0.00397655417426236,0.000253132832080225,0.000397655417426236,0.000909794953787527,0.00248786419408215
"RF","Irritating_cough",100,63,0.63,14.5,0.43,0.0016830426065163,0.0194322116797626,0.00456140350877193,0.00194322116797626,-0.00217272977566376,0.00553881498869636
"RF","More_irritable",100,64,0.64,32,0.18,0.00161485714285714,0.00835484342376394,0.00148370927318295,0.000835484342376394,-4.29250520711307e-05,0.00327263933778541
"RF","Lumps_pieces_in_sputum",100,45,0.45,43.5,0.09,0.00151319298245614,0.00312201274896548,0,0.000312201274896548,0.000893717920499518,0.00213266804441276
"RF","Nail_changes",100,60,0.6,42,0.06,0.00122369172932331,0.00485356437634384,0.000340350877192979,0.000485356437634384,0.00026063925820757,0.00218674420043905
"RF","Legs_do_not_support",100,55,0.55,37.5,0.13,0.00120230576441102,0.00620651562736737,0.000563909774436144,0.000620651562736737,-2.92015873998104e-05,0.00243381311622186
"RF","Hard_to_get_air",100,59,0.59,34.5,0.06,0.00118837593984962,0.00534435206649948,0.000977443609022539,0.000534435206649948,0.000127940543290202,0.00224881133640904
"RF","Pain_in_shoulder_blade",100,54,0.54,47,0.04,0.00109270426065163,0.00247745775853653,7.51879699248225e-05,0.000247745775853652,0.000601122892518882,0.00158428562878437
"RF","Angina_pectoris",100,55,0.55,45,0.05,0.00101955137844611,0.00371307994487854,0.000253132832080205,0.000371307994487854,0.000282795761523759,0.00175630699536847
"RF","Rougher_voice",100,61,0.61,36,0.07,0.000874932330827071,0.00531282559755563,0.000689223057644116,0.000531282559755563,-0.00017924753032214,0.00192911219197628
"RF","Poorer_condition_lower_fitness",100,61,0.61,31,0.06,0.000818335839598998,0.0057957208547386,0.00154135338345869,0.00057957208547386,-0.000331660917064527,0.00196833259626252
"RF","Lost_sense_of_smell",100,49,0.49,46.5,0.03,0.000745674185463663,0.00360719151168153,0,0.000360719151168153,2.99291309539503e-05,0.00146141923997337
"RF","Feeling_that_something_is_wrong",100,52,0.52,43.5,0.05,0.000690701754385965,0.00375757023458102,7.26817042606531e-05,0.000375757023458102,-5.48817012372551e-05,0.00143628521000918
"RF","Persisting_pain",100,63,0.63,37,0.14,0.000669646616541357,0.00850024240943942,0.00112781954887221,0.000850024240943942,-0.00101698589159899,0.0023562791246817
"RF","More_down",100,58,0.58,40,0.07,0.000603819548872184,0.00531285525740167,0.000751879699248089,0.000531285525740167,-0.000450366197433957,0.00165800529517832
"RF","Mucus_cough",100,50,0.5,55,0.03,0.000562897243107774,0.00494930806147283,-2.48120300751976e-05,0.000494930806147283,-0.000419152852311997,0.00154494733852754
"RF","Panic_sensation",100,50,0.5,45,0.03,0.000487468671679197,0.00409703598872478,3.50877192982466e-05,0.000409703598872478,-0.000325472154329536,0.00130040949768793
"RF","Breathing_sound_rattled_wheezed",100,61,0.61,51.5,0.02,0.000437849624060151,0.00299097397376212,0.000255639097744367,0.000299097397376212,-0.000155624501989109,0.00103132375010941
"RF","Less_Smoking",100,49,0.49,46,0.1,0.000366363408521303,0.00817915732526805,0,0.000817915732526805,-0.00125655885292761,0.00198928566997021
"RF","Hard_to_catch_breath",100,53,0.53,46.5,0.01,0.000334002506265661,0.00283943492528274,0.00011278195488724,0.000283943492528274,-0.000229402984901591,0.000897407997432912
"RF","Wheezing",100,55,0.55,43,0.05,0.0002969022556391,0.00363205363216569,0.000676691729323324,0.000363205363216569,-0.000423775982962319,0.00101758049424052
"RF","Feeling_pressure",100,45,0.45,52.5,0.07,0.000259721804511285,0.00436784608934219,0,0.000436784608934219,-0.000606953620728037,0.00112639722975061
"RF","Discomfort_sensation",100,53,0.53,52,0,0.000248285714285716,0.0014529028810638,7.51879699247982e-05,0.00014529028810638,-4.00017382758377e-05,0.00053657316684727
"RF","Cold_flu_pneumonia_last_2_y",100,56,0.56,41.5,0.02,0.000242937343358395,0.0038740269743569,0.000846867167919773,0.00038740269743569,-0.000525753655983805,0.00101162834270059
"RF","Feeling_chilly",100,46,0.46,54.5,0.04,0.000232541353383458,0.00298789747842975,0,0.000298789747842975,-0.000360322329246804,0.00082540503601372
"RF","Less_will_to_do_things",100,49,0.49,52,0.02,0.000202265664160402,0.00451577534299194,-5.59621793350118e-18,0.000451577534299194,-0.000693762134351655,0.00109829346267246
