"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Age",100,100,1,1,1,0.0101637167992946,0.001702828332239,0.0100972562815951,1,0.160497344770628
"RF","Living_alone",100,100,1,3,1,0.00493500351900842,0.00139176887008503,0.00493749085041804,0.50717604225587,0.131178935629615
"RF","Weight_reduction_last_2_y",100,100,1,3,1,0.00464792574332079,0.00138758926293286,0.00458302002507523,0.48011798838855,0.130784993482068
"RF","Antibiotics_last_2_y",100,100,1,4,0.99,0.00452368222705053,0.00127882478903874,0.00454780530179335,0.468407615658185,0.120533572986598
"RF","Current_daily_smoker",100,100,1,4,0.99,0.00409471507749405,0.00133555030476098,0.00382963499386458,0.427976007143008,0.125880145205181
"RF","COPD",100,100,1,6,0.99,0.00328446087896805,0.000944821755362758,0.00320843598616262,0.35160680128085,0.0890526544257446
"RF","Weight_increase_last_2_y",100,100,1,7,0.98,0.00297722814107528,0.000957659880353186,0.00293206995295488,0.32264907387825,0.0902626912414276
"RF","Less_Smoking",100,100,1,9,0.84,0.00198601914567994,0.000759575004122178,0.00197072755182729,0.229224264775775,0.0715925199315029
"RF","Cold_flu_pneumonia_last_2_y",100,100,1,9.5,0.67,0.0017114836738059,0.0008028858611903,0.00159348907670809,0.203348365575062,0.0756747150815178
"RF","Sex",100,98,0.98,10,0.68,0.00166892098835388,0.000849315382000695,0.00158527624077768,0.199336688136988,0.080050854864935
"RF","Pneumonia",100,100,1,11,0.46,0.00138357269466884,0.000676972171479455,0.00124614609797476,0.172441643813253,0.0638069228406573
"RF","Asthma",100,99,0.99,11,0.33,0.00119855841950944,0.000534989534414491,0.00124630189397793,0.155003420978013,0.0504245778203019
"RF","Angina_pectoris",100,81,0.81,13,0.05,0.000384714624386701,0.000507064086190125,0.000352600838455794,0.0782958834639387,0.0477925096272345
"RF","Anemia",100,72,0.72,15,0,0.000126356691467842,0.000199656252112659,0.000140121476945994,0.0539447721693651,0.0188182788154592
"RF","Chronic_bronchitis",100,63,0.63,16,0,4.78272878366771e-05,0.000190037407073505,2.87805609329627e-05,0.0465431095762542,0.0179116700520765
"RF","Pleural_fluid",100,36,0.36,18,0,-9.39296430485103e-05,0.000369240733128045,-9.39360066648668e-05,0.0331820381287345,0.0348021912286891
"RF","No_comorbidities",100,35,0.35,18,0.01,-0.000102881268791457,0.000459442527465034,-0.000165762840766773,0.032338317046625,0.0433040162280403
"RF","Heart_disease",100,31,0.31,19,0.01,-0.000137006024939021,0.000439934138314108,-0.000233691948851374,0.0291219430593378,0.0414652843957135
"RF","Asbestos",100,2,0.02,18,0,-0.000170568645342278,0.000108397093942696,-0.000189843574319624,0.0259585522722087,0.0102167936892262
"RF","Emphysema",100,23,0.23,19,0,-0.000172851836637553,0.000232890008419661,-0.000217198393682903,0.0257433537501045,0.021950673046306
"RF","More_Smoking",100,5,0.05,21,0,-0.00033993555562152,0.000207970459035225,-0.00033801365644556,0.00999514663866407,0.0196019210121983
"RF","Born_in_sweden",100,13,0.13,21,0,-0.000360376516840086,0.000360436600695175,-0.000348101648958474,0.0080685167265193,0.0339723718912185
"RF","University_education",100,14,0.14,21.5,0,-0.000445981041330485,0.000412743137420869,-0.000434950686696211,0,0.0389024403541873
"RLR","Weight_increase_last_2_y",100,100,1,2,1,0.181071472346273,0.019700980252086,0.180471471057313,1,0.119439331785506
"RLR","Angina_pectoris",100,100,1,4,0.99,0.154619270002188,0.0322723667654406,0.153110499037304,0.839630651276956,0.195654727443974
"RLR","Less_Smoking",100,100,1,4,1,0.153061152644628,0.0196770985023571,0.150824671193585,0.830184395626268,0.119294546084846
"RLR","Living_alone",100,100,1,4,1,0.149900352686267,0.0145888199224413,0.150094592666982,0.811021702699132,0.0884463047411546
"RLR","Current_daily_smoker",100,100,1,6,0.99,0.141716683711774,0.01576194937884,0.140618352404931,0.761407321010499,0.0955585294415127
"RLR","Weight_reduction_last_2_y",100,100,1,6,0.99,0.13897007265675,0.0138953909693249,0.138980518183139,0.744755693279843,0.0842423164247778
"RLR","COPD",100,100,1,6,0.97,0.13678027333216,0.0169384362864373,0.136721303595019,0.731479797120023,0.102691109054293
"RLR","Antibiotics_last_2_y",100,100,1,8,0.98,0.122761731440642,0.0130234395382038,0.122278959405031,0.646490864858506,0.0789560162026606
"RLR","Asthma",100,100,1,11,0.42,0.0994321256662266,0.0187101891447231,0.0964242087371031,0.505052596870776,0.113432553123317
"RLR","Sex",100,100,1,11,0.39,0.0965961843086238,0.0120706313476415,0.0975027255266046,0.487859394481819,0.0731795130975188
"RLR","Chronic_bronchitis",100,100,1,13,0.26,0.090692628261381,0.0534421970715185,0.0876815126159714,0.452068444974812,0.323999122160211
"RLR","Anemia",100,100,1,13,0.24,0.0905032643275501,0.0531317902942211,0.0867296284787743,0.45092040556603,0.32211724737085
"RLR","Pneumonia",100,100,1,12,0.26,0.0895411279375896,0.0147250349527383,0.0912372299513568,0.445087349239239,0.0892721231516928
"RLR","More_Smoking",100,100,1,16,0.13,0.0890272905075276,0.0828649773110576,0.0628090529356825,0.441972154030286,0.502377921900911
"RLR","Age",100,100,1,13,0.05,0.0845931246117102,0.00584432966104633,0.0840414170111519,0.415089541853339,0.0354318831102669
"RLR","Heart_disease",100,100,1,16,0.09,0.070907312805095,0.0217430861990387,0.0680039798246613,0.332117821857263,0.131819820807793
"RLR","Cold_flu_pneumonia_last_2_y",100,100,1,16,0.02,0.0699955542838732,0.0160227484270034,0.0695501403383008,0.326590186829409,0.0971396519869069
"RLR","Asbestos",100,98,0.98,22,0.16,0.0649618062284312,0.138007091784897,0.00605246812902875,0.296072542710918,0.836682977878919
"RLR","Pleural_fluid",100,100,1,17,0.04,0.0573627203107201,0.0204139110006752,0.0554505218995023,0.250002259274339,0.123761551854318
"RLR","Emphysema",100,100,1,20,0.02,0.028846874423089,0.0279625928767258,0.024171897056136,0.0771218475112487,0.169526255315781
"RLR","Born_in_sweden",100,100,1,20,0,0.0253803154284502,0.0171288137651207,0.0215412366628799,0.0561054572293054,0.103845293188788
"RLR","No_comorbidities",100,100,1,21,0,0.0175390969580614,0.0118667607356334,0.0166750327828853,0.00856721890290355,0.071943525377244
"RLR","University_education",100,100,1,21,0,0.016125972756023,0.0121506553588732,0.0135124667136197,0,0.0736646673541096
"XGB","Age",100,100,1,1,1,0.334693887614762,0.0336310129387357,0.331597471486118,1,0.100482901490706
"XGB","Living_alone",100,100,1,3,1,0.106000312563946,0.0247356577353399,0.104996602983953,0.316708241430313,0.0739053166211718
"XGB","Weight_reduction_last_2_y",100,100,1,3,1,0.103353286905621,0.0237717675694083,0.102926914619998,0.308799445493854,0.0710254009680928
"XGB","Antibiotics_last_2_y",100,100,1,4,1,0.0971278429794173,0.0200654722106993,0.094949980689843,0.29019903432241,0.0599517139488216
"XGB","Current_daily_smoker",100,100,1,4,1,0.0933860577167574,0.0225684112523325,0.0918586660556522,0.279019310398181,0.0674300072020111
"XGB","Sex",100,100,1,6,1,0.0660955479312975,0.0147805957984489,0.065514459665812,0.197480594588493,0.044161534899202
"XGB","COPD",100,100,1,8,0.9,0.0365531653481226,0.0119928295970496,0.0352939763450898,0.109213722451352,0.0358322336942513
"XGB","Cold_flu_pneumonia_last_2_y",100,100,1,9,0.78,0.0288059057820992,0.00932616558180176,0.0283175740971892,0.0860664232244815,0.0278647621809464
"XGB","No_comorbidities",100,100,1,10,0.72,0.0278568450029188,0.00888790798793419,0.0272520088019137,0.0832308148841441,0.0265553340435195
"XGB","Weight_increase_last_2_y",100,100,1,10.5,0.5,0.0255113706657956,0.0108658328790788,0.0240169261296527,0.0762229954290638,0.0324649875040012
"XGB","University_education",100,100,1,10,0.51,0.0237512244408909,0.00725468362932653,0.023383283600162,0.0709640221103437,0.0216755784846504
"XGB","Pneumonia",100,100,1,11,0.42,0.0211035214245536,0.00857896595741453,0.0203374999639488,0.0630532023603731,0.0256322755654536
"XGB","Less_Smoking",100,99,0.99,13,0.14,0.0144610380836179,0.00980443127553711,0.0140452842607073,0.0432067588287205,0.0292937267107255
"XGB","Asthma",100,99,0.99,14,0.02,0.00845298831837566,0.00564198811177829,0.00723081505814645,0.0252558789723258,0.016857159095395
"XGB","Heart_disease",100,89,0.89,15,0.01,0.00590778600597117,0.00512461310374045,0.00464287606574093,0.0176513113163606,0.0153113435690793
"XGB","Born_in_sweden",100,94,0.94,16,0,0.00383099491919857,0.00240595072865094,0.00342566448333568,0.0114462649631896,0.00718851110726057
"XGB","Pleural_fluid",100,77,0.77,16,0,0.00310822429665484,0.0033129225339059,0.00233592262962453,0.00928676743637593,0.00989836580977279
"XGB","Anemia",100,0,0,18,0,0,0,0,0,0
"XGB","Angina_pectoris",100,0,0,18,0,0,0,0,0,0
"XGB","Asbestos",100,0,0,18,0,0,0,0,0,0
"XGB","Chronic_bronchitis",100,0,0,18,0,0,0,0,0,0
"XGB","Emphysema",100,0,0,18,0,0,0,0,0,0
"XGB","More_Smoking",100,0,0,18,0,0,0,0,0,0
