"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Age",100,90,0.9,1,0.9,0.0451787393483709,0.0340422808997305,0.0438157894736842,0.00340422808997305,0.0384240122651797,0.0519334664315621
"RF","Living_alone",100,74,0.74,5,0.73,0.0167135714285714,0.0264030890586347,0.0168771929824562,0.00264030890586347,0.0114746257401325,0.0219525171170103
"RF","Weight_reduction_last_2_y",100,74,0.74,5,0.68,0.0163268370927318,0.029781084014327,0.0168370927318294,0.0029781084014327,0.0104176239189471,0.0222360502665165
"RF","COPD",100,73,0.73,6,0.69,0.0118945238095238,0.0200185263899595,0.0130075187969926,0.00200185263899595,0.00792241386865005,0.0158666337503976
"RF","Antibiotics_last_2_y",100,72,0.72,6,0.67,0.0117473784461153,0.0224715273465242,0.0102255639097745,0.00224715273465242,0.0072885398972142,0.0162062169950164
"RF","Current_daily_smoker",100,75,0.75,6.5,0.69,0.0108466215538847,0.0235629577280849,0.0087969924812031,0.00235629577280849,0.0061712195385267,0.0155220235692428
"RF","Weight_increase_last_2_y",100,69,0.69,7,0.62,0.00888482205513785,0.0194957798099681,0.0103383458646617,0.00194957798099681,0.00501643637680436,0.0127532077334713
"RF","Sex",100,68,0.68,7,0.63,0.00796489724310777,0.0183112364096835,0.00887218045112785,0.00183112364096835,0.00433155067424772,0.0115982438119678
"RF","Less_Smoking",100,60,0.6,10,0.52,0.00240513533834588,0.013368917694533,0.00250626566416038,0.0013368917694533,-0.000247547973039713,0.00505781864973146
"RF","Cold_flu_pneumonia_last_2_y",100,54,0.54,11,0.43,0.0015987769423559,0.0120064573068515,0.00150375939849638,0.00120064573068515,-0.000783564669319431,0.00398111855403123
"RF","Angina_pectoris",100,54,0.54,11,0.42,0.00120784210526316,0.0111500971014862,0.000654135338345872,0.00111500971014862,-0.0010045790627972,0.00342026327332351
"RF","Anemia",100,29,0.29,12,0.16,0.000195228070175439,0.00421250379199855,0,0.000421250379199855,-0.000640624073095118,0.001031080213446
"RF","Asthma",100,61,0.61,11,0.44,0.000165721804511286,0.0111008684025873,0.00203007518796999,0.00111008684025873,-0.00203693132166309,0.00236837493068567
"RF","Pneumonia",100,54,0.54,12,0.43,0.000105330827067673,0.0125288183756011,0.000939849624060093,0.00125288183756011,-0.00238065855335384,0.00259132020748919
"RF","Chronic_bronchitis",100,25,0.25,13,0.12,-0.000499556390977441,0.00374573653204455,0,0.000374573653204455,-0.00124279178328337,0.000243679001328491
"RF","Asbestos",100,2,0.02,13,0,-0.000706340852130326,0.00217853757781677,0,0.000217853757781677,-0.00113860997128753,-0.000274071732973121
"RF","Pleural_fluid",100,48,0.48,14,0.27,-0.000747037593984953,0.00763238877900481,-0.000338345864661685,0.000763238877900481,-0.00226146911362488,0.000767393925654978
"RF","Heart_disease",100,48,0.48,13,0.31,-0.000915912280701749,0.00859754154625225,-0.000253132832080206,0.000859754154625225,-0.00262185104850597,0.000790026487102472
"RF","Emphysema",100,23,0.23,13.5,0.05,-0.0015037619047619,0.00461732707449831,0,0.000461732707449831,-0.00241993976998575,-0.000587584039538056
