"resample","model","Variable","Importance","importance_scaled"
"Fold01.Rep01","RLR","Hard_to_get_air",0,0
"Fold01.Rep01","RLR","Feeling_pressure",0.0288698707760063,0.042057134150099
"Fold01.Rep01","RLR","Hard_to_breathe_deeply",0,0
"Fold01.Rep01","RLR","Labored_breathing",0,0
"Fold01.Rep01","RLR","Wheezing",0,0
"Fold01.Rep01","RLR","Hard_to_catch_breath",0,0
"Fold01.Rep01","RLR","Gasp_for_air",0.546466543325552,0.796083117222839
"Fold01.Rep01","RLR","Feeling_of_choking",0,0
"Fold01.Rep01","RLR","Discomfort_sensation",0,0
"Fold01.Rep01","RLR","Panic_sensation",0,0
"Fold01.Rep01","RLR","Stabbing_sensation_from_taking_deep_breaths",0,0
"Fold01.Rep01","RLR","Thickness_in_throat",0.579759460693027,0.844583670025305
"Fold01.Rep01","RLR","Lump_in_the_chest",0,0
"Fold01.Rep01","RLR","Sores_in_chest",0,0
"Fold01.Rep01","RLR","Uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Breathing_sound_squeaked_as_if_through_a_pipe",0,0
"Fold01.Rep01","RLR","Breathing_sound_rattled_wheezed",0,0
"Fold01.Rep01","RLR","Breathing_sound_whistling",0,0
"Fold01.Rep01","RLR","Breathing_sound_jarred_raspy",0,0
"Fold01.Rep01","RLR","Breathing_sound_bubbled_gurgled",0,0
"Fold01.Rep01","RLR","Breathing_sound_hissed",0,0
"Fold01.Rep01","RLR","Mucus_cough",0,0
"Fold01.Rep01","RLR","Dry_cough",0,0
"Fold01.Rep01","RLR","Barking_cough",0,0
"Fold01.Rep01","RLR","Hacking_cough",0,0
"Fold01.Rep01","RLR","Wheezing_cough",0,0
"Fold01.Rep01","RLR","Irritating_cough",0.204814170088844,0.298369781219343
"Fold01.Rep01","RLR","Losing_breath_due_to_coughing",0,0
"Fold01.Rep01","RLR","Coughing_fits",0,0
"Fold01.Rep01","RLR","Difficulty_suppressing_the_cough",0,0
"Fold01.Rep01","RLR","Slight_cough",0,0
"Fold01.Rep01","RLR","Need_to_clear_throat",0,0
"Fold01.Rep01","RLR","Unlike_other_coughs",0,0
"Fold01.Rep01","RLR","Increased_amount_of_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","White_yellow_or_green_phlegm_expectorated",0,0
"Fold01.Rep01","RLR","Blood_mixed_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","Lumps_pieces_in_sputum",0.0977515348014576,0.142402764612987
"Fold01.Rep01","RLR","Thick_consistency",0.0162839316153215,0.0237221531661928
"Fold01.Rep01","RLR","Thin_mucus",0.0857312565359241,0.124891828749872
"Fold01.Rep01","RLR","Thick_mucus",0,0
"Fold01.Rep01","RLR","Persisting_pain",0,0
"Fold01.Rep01","RLR","Pain_comes_and_goes",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_when_breathing",0,0
"Fold01.Rep01","RLR","Pain_reduces_improves_when_changing_body_position",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_changing_body_position",0,0
"Fold01.Rep01","RLR","Pressure_sensation",0,0
"Fold01.Rep01","RLR","Lump_swelling_or_obstruction_sensation",0,0
"Fold01.Rep01","RLR","Heartburn",0,0
"Fold01.Rep01","RLR","Feeling_of_uneasiness_difficult_to_describe",0,0
"Fold01.Rep01","RLR","Pain_in_throat",0,0
"Fold01.Rep01","RLR","Pain_in_shoulder_blade",0,0
"Fold01.Rep01","RLR","Pain_in_shoulders",0,0
