"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Loss_of_appetite",100,100,1,1,1,0.0241082495641373,0.00395598094702221,0.0244489724107734,1,0.158128976667284
"RF","Early_satiety",100,100,1,2,0.99,0.0112922124611634,0.00258444326240406,0.0113784261870143,0.48771572483212,0.103305696819959
"RF","Thickness_in_throat",100,100,1,3,0.98,0.00911400631219148,0.00200388643916131,0.00915288772255432,0.400648189897055,0.0800996051865584
"RF","Persisting_pain",100,100,1,4,0.95,0.00812470756012545,0.00250395811744764,0.00799042018285231,0.361103813577402,0.100088534305954
"RF","Became_weaker",100,100,1,6,0.9,0.00653152418273404,0.00218444585361329,0.00633594391329411,0.297420883734207,0.0873169492074964
"RF","Back_pain",100,100,1,6,0.77,0.00618636262236435,0.00231501511771718,0.00621138605390282,0.283624041672259,0.0925360805414047
"RF","Gasp_for_air",100,100,1,7,0.79,0.00592376922195467,0.0016272113545272,0.00589491809257708,0.273127624666606,0.065043100499879
"RF","More_down",100,100,1,8,0.73,0.00538156208993333,0.0014927808038424,0.00517793549540487,0.251454451798375,0.0596696253246233
"RF","Increased_need_for_sleep",100,100,1,9,0.73,0.0052476808278672,0.00196757170061223,0.00513525872139112,0.246102932858079,0.0786480278100221
"RF","Pain_comes_and_goes",100,100,1,10,0.54,0.0045726058326655,0.00172561226949884,0.00441320998268762,0.2191187487595,0.0689763944656404
"RF","Irritating_cough",100,100,1,12,0.38,0.0041452348839369,0.00182812209907096,0.00371778288621958,0.202035822505609,0.0730739304916361
"RF","Legs_do_not_support",100,100,1,13,0.26,0.00359137678317773,0.00111960693495674,0.00345038682673231,0.179896935623998,0.0447530716818972
"RF","Labored_breathing",100,100,1,13,0.22,0.00358930630675008,0.00119362770676974,0.00344984454274272,0.17981417427527,0.0477118394453571
"RF","Hard_to_get_air",100,100,1,13.5,0.25,0.00354899296909691,0.00164073218452573,0.00338395610277739,0.178202764383638,0.0655835568468612
"RF","Less_will_to_do_things",100,100,1,14,0.22,0.00345715840743531,0.00123210739161314,0.00341474461765754,0.174531941532692,0.0492499543322217
"RF","Rougher_voice",100,100,1,17,0.06,0.00269695908053625,0.0011180910093904,0.00269022046977749,0.144145156754016,0.0446924769111638
"RF","Panic_sensation",100,100,1,17,0.04,0.0026294277712955,0.0008847448088995,0.0026494126031842,0.14144578661896,0.0353651327234727
"RF","Hard_to_catch_breath",100,100,1,20,0.02,0.00233455913079167,0.000825712870829273,0.00225782253202111,0.129659259585951,0.0330055005405225
"RF","Mucus_cough",100,100,1,21,0.05,0.00222952561554762,0.00107639076112841,0.00208929763032996,0.125460846473317,0.0430256292511912
"RF","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,100,1,21,0.01,0.00217989883394706,0.000807183057991027,0.00214387899363788,0.123477158408365,0.0322648244904637
"RF","Pain_radiated_between_shoulder_blades_to_chest",100,100,1,21,0,0.00201461124419261,0.000760480797706507,0.00211226593555181,0.116870261718595,0.0303980357658114
"RF","Did_not_feel_well_rested",100,99,0.99,23,0,0.00192455416438143,0.000789927556480665,0.00188460268566073,0.113270488599641,0.0315750853758787
"RF","Feeling_that_something_is_wrong",100,100,1,25,0,0.0017286207116559,0.000655397804654703,0.00170811674604793,0.105438611553393,0.0261976449199139
