"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Loss_of_appetite",100,95,0.95,1,0.94,0.0696106403508772,0.04549763680838,0.0661451127819548,0.004549763680838,0.0605829221296462,0.0786383585721082
"RF","Early_satiety",100,88,0.88,4,0.8,0.0262112192982456,0.0214309981865422,0.0271992481203008,0.00214309981865422,0.0219588443091301,0.0304635942873611
"RF","Thickness_in_throat",100,87,0.87,5,0.71,0.0254220814536341,0.0233970773967435,0.023704260651629,0.00233970773967435,0.0207795936948143,0.0300645692124539
"RF","Persisting_pain",100,83,0.83,5.5,0.63,0.0218330401002506,0.0281476451770651,0.0232681704260652,0.00281476451770651,0.0162479366294934,0.0274181435710078
"RF","Gasp_for_air",100,70,0.7,7.5,0.54,0.0170354335839599,0.0212106248862968,0.0137406015037593,0.00212106248862968,0.0128267854386468,0.021244081729273
"RF","Back_pain",100,73,0.73,7,0.6,0.015835545112782,0.0255806722195309,0.0151979949874687,0.00255806722195309,0.010759784767685,0.0209113054578789
"RF","Irritating_cough",100,73,0.73,9,0.53,0.00998549248120299,0.0176891940626717,0.0109598997493735,0.00176891940626717,0.00647557260929749,0.0134954123531085
"RF","More_down",100,76,0.76,15.5,0.37,0.00840615037593985,0.0124275454413839,0.00740601503759403,0.00124275454413839,0.0059402557427994,0.0108720450090803
"RF","Pain_comes_and_goes",100,72,0.72,16,0.37,0.00715407518796991,0.0166206403611103,0.00568170426065163,0.00166206403611103,0.00385617955289628,0.0104519708230435
"RF","Legs_do_not_support",100,66,0.66,20,0.31,0.0061561328320802,0.0131825601588517,0.0042481203007519,0.00131825601588517,0.00354042689883008,0.00877183876533033
"RF","Panic_sensation",100,61,0.61,24,0.22,0.00502954887218044,0.00963909287613374,0.00335714285714285,0.000963909287613374,0.0031169437239064,0.00694215402045449
"RF","Lost_sense_of_smell",100,61,0.61,27,0.18,0.00485358646616541,0.00737307449479507,0.0026657894736842,0.000737307449479507,0.00339060852637723,0.00631656440595359
"RF","Became_weaker",100,74,0.74,18,0.29,0.00458637844611529,0.013985106561342,0.00568295739348369,0.0013985106561342,0.00181142989523957,0.007361326996991
"RF","Feeling_chilly",100,66,0.66,29,0.14,0.00364681328320801,0.00684386652457032,0.00250375939849625,0.000684386652457032,0.00228884168596329,0.00500478488045274
"RF","Increased_need_for_sleep",100,61,0.61,25,0.22,0.00280012531328321,0.0135926955360247,0.00447368421052631,0.00135926955360247,0.000103039623249883,0.00549721100331653
"RF","Lumps_pieces_in_sputum",100,53,0.53,33.5,0.05,0.00277127192982456,0.00484403666012413,0.000413533834586483,0.000484403666012413,0.00181010996431212,0.00373243389533699
"RF","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,60,0.6,28,0.25,0.00269345989974937,0.0123240966786374,0.00310802005012531,0.00123240966786374,0.000248091745475138,0.00513882805402359
"RF","Pain_radiated_between_shoulder_blades_to_chest",100,54,0.54,30,0.17,0.00263658395989975,0.00827385661427962,0.000770676691729304,0.000827385661427962,0.000994871304994848,0.00427829661480465
"RF","Feeling_that_something_is_wrong",100,66,0.66,31.5,0.1,0.00245336215538847,0.00744564847605979,0.00191979949874688,0.000744564847605979,0.000975983963213329,0.00393074034756361
"RF","Less_will_to_do_things",100,61,0.61,29.5,0.12,0.00244007268170426,0.00817344040591358,0.00221666666666673,0.000817344040591358,0.000818284781084747,0.00406186058232377
"RF","Rougher_voice",100,66,0.66,27.5,0.17,0.00238067543859649,0.0103447374361962,0.00265338345864665,0.00103447374361962,0.000328055100535373,0.0044332957766576
"RF","White_yellow_or_green_phlegm_expectorated",100,66,0.66,33,0.09,0.00172430576441103,0.00657222718867657,0.00204887218045114,0.000657222718867657,0.000420233304666106,0.00302837822415594
"RF","Breathing_sound_bubbled_gurgled",100,52,0.52,37,0.08,0.00161803007518797,0.00659381169303724,0.000142857142857147,0.000659381169303724,0.000309674781498648,0.00292638536887729
"RF","Mucus_cough",100,56,0.56,33.5,0.17,0.00156331328320802,0.0116987623230506,0.00233583959899753,0.00116987623230506,-0.00075797496818972,0.00388460153460576
"RF","Hard_to_catch_breath",100,58,0.58,33,0.09,0.00142136090225564,0.0080269021254382,0.00155614035087719,0.00080269021254382,-0.000171350624346315,0.00301407242885759
"RF","Pain_persists_worsens_changing_body_position",100,43,0.43,36,0.05,0.001247656641604,0.00548001164109141,0,0.000548001164109141,0.000160303442289554,0.00233500984091845
"RF","Chills",100,49,0.49,39.5,0.02,0.000952298245614029,0.00452843958456131,0,0.000452843958456131,5.37575868218793e-05,0.00185083890440618
"RF","Nail_changes",100,48,0.48,43,0.03,0.000951042606516293,0.00621225390583759,0,0.000621225390583759,-0.000281603344235895,0.00218368855726848
