"model","metric","n","mean","sd","median","min","max","se","ci_lower","ci_upper"
"RF","BalancedAccuracy",100,0.679824561403509,0.059412121289092,0.680263157894737,0.563157894736842,0.801754385964912,0.0059412121289092,0.668035907584356,0.691613215222661
"RF","NPV",100,0.808009509229273,0.0981999562420841,0.8,0.625,1,0.00981999562420841,0.788524507447214,0.827494511011332
"RF","PPV",100,0.599166313298221,0.0763242508494509,0.583333333333333,0.46875,0.857142857142857,0.00763242508494509,0.58402192606296,0.614310700533483
"RF","ROC",100,0.642145614035088,0.0920572327954271,0.65438596491228,0.396491228070175,0.870175438596491,0.00920572327954271,0.623879461852205,0.66041176621797
"RF","Sens",100,0.803333333333333,0.138088603446467,0.8,0.4,1,0.0138088603446467,0.775933558555396,0.830733108111271
"RF","Spec",100,0.556315789473684,0.166518443281123,0.538157894736842,0.15,0.947368421052632,0.0166518443281123,0.523274917682666,0.589356661264703
"RF","threshold",100,0.40223254839332,0.0914754007978023,0.400878679175122,0.115508248749842,0.600475603935748,0.00914754007978022,0.384081844301704,0.420383252484936
"RLR","BalancedAccuracy",100,0.710754385964912,0.0608824975818434,0.707675438596491,0.571929824561404,0.86140350877193,0.00608824975818434,0.698673977589231,0.722834794340594
"RLR","NPV",100,0.823746844913859,0.0934073705379306,0.8,0.62962962962963,1,0.00934073705379306,0.805212796111412,0.842280893716307
"RLR","PPV",100,0.643766860175082,0.0940506705420951,0.63961038961039,0.482758620689655,0.916666666666667,0.00940506705420951,0.625105166695312,0.662428553654851
"RLR","ROC",100,0.691125438596491,0.0887892009829202,0.693859649122807,0.449122807017544,0.864912280701754,0.00887892009829202,0.673507734825679,0.708743142367304
"RLR","Sens",100,0.800666666666667,0.144170680740521,0.8,0.333333333333333,1,0.0144170680740521,0.772060075801957,0.829273257531376
"RLR","Spec",100,0.620842105263158,0.183684477103828,0.631578947368421,0.210526315789474,0.947368421052632,0.0183684477103828,0.584395119941888,0.657289090584428
"RLR","threshold",100,0.42076265025991,0.0490085828732274,0.429801459013335,0.262167874778525,0.562039862030141,0.00490085828732274,0.411038284168881,0.430487016350938
"XGB","BalancedAccuracy",100,0.70765350877193,0.0623938009792077,0.712280701754386,0.558333333333333,0.868421052631579,0.00623938009792077,0.695273225014244,0.720033792529615
"XGB","NPV",100,0.815567305495788,0.0958753984147721,0.8,0.607142857142857,1,0.00958753984147721,0.796543546418319,0.834591064573258
"XGB","PPV",100,0.647762738861245,0.107388787597942,0.619047619047619,0.481481481481481,1,0.0107388787597942,0.62645447358503,0.66907100413746
"XGB","ROC",100,0.694664035087719,0.0895259183711033,0.705131578947368,0.431578947368421,0.898245614035088,0.00895259183711033,0.676900150603891,0.712427919571548
"XGB","Sens",100,0.787333333333333,0.15903609766071,0.8,0.266666666666667,1,0.015903609766071,0.75577712124408,0.818889545422587
"XGB","Spec",100,0.627973684210526,0.18517997164285,0.631578947368421,0.157894736842105,1,0.018517997164285,0.591229960327723,0.66471740809333
"XGB","threshold",100,0.473098506480455,0.0299418407600284,0.473918117582798,0.364659175276756,0.549892663955688,0.00299418407600284,0.46715739568068,0.47903961728023
