"model","resample","variables","n_variables"
"RF","Fold01.Rep01","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Emphysema, Chronic_bronchitis, COPD, Heart_disease, Current_daily_smoker, Hard_to_get_air, Feeling_pressure, Gasp_for_air, Panic_sensation, Thickness_in_throat, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Barking_cough, Irritating_cough, Losing_breath_due_to_coughing, Difficulty_suppressing_the_cough, Lumps_pieces_in_sputum, Thick_mucus, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_neck, Pain_in_chest, Headache, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Difficulty_to_stay_awake, Felt_worn_out, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Rougher_voice, Changes_pitch_higher_lower, Loss_of_appetite, Changes_hard_to_describe, Difficult_sensing_smells, Lost_sense_of_smell, Fever, Cold_feet, Dryer_mouth, Poorer_condition_lower_fitness, More_down, More_irritable",50
"RF","Fold01.Rep02","Age, Sex, Living_alone, Asthma, Emphysema, Chronic_bronchitis, COPD, Anemia, Heart_disease, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Feeling_pressure, Labored_breathing, Wheezing, Gasp_for_air, Feeling_of_choking, Panic_sensation, Thickness_in_throat, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Mucus_cough, Dry_cough, Hacking_cough, Irritating_cough, Losing_breath_due_to_coughing, Lumps_pieces_in_sputum, Pain_persists_worsens_when_breathing, Pressure_sensation, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_shoulder_blade, Pain_in_neck, Pain_in_chest, Headache, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Did_not_feel_well_rested, Felt_worn_out, Persistent_fatigue, Rougher_voice, Weaker_voice, Lost_my_voice, Do_not_enjoy_food, Food_drinks_tasted_different, Lost_sense_of_smell, Fever, Cold_feet, Calf_cramp, Poorer_condition_lower_fitness, More_irritable, Feeling_that_something_is_wrong",56
"RF","Fold01.Rep03","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Anemia, Heart_disease, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Hard_to_get_air, Hard_to_breathe_deeply, Labored_breathing, Hard_to_catch_breath, Gasp_for_air, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Mucus_cough, Dry_cough, Irritating_cough, Difficulty_suppressing_the_cough, Unlike_other_coughs, Lumps_pieces_in_sputum, Thick_consistency, Thin_mucus, Thick_mucus, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Lump_swelling_or_obstruction_sensation, Heartburn, Feeling_of_uneasiness_difficult_to_describe, Pain_in_shoulder_blade, Pain_in_neck, Pain_in_chest, Headache, Less_will_to_do_things, Became_weaker, Legs_do_not_support, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Felt_out_of_sorts, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Weaker_voice, Lost_my_voice, Changes_pitch_higher_lower, Clear_throat_more_often, Voice_changes_difficult_to_describe, Loss_of_appetite, Chills, Feeling_chilly, Fever, Day_sweats_more_than_usual, Cold_feet, Calf_cramp, Swollen_tender_joints, Nail_changes, Dryer_mouth, Poorer_condition_lower_fitness, More_irritable, Feeling_that_something_is_wrong",68
"RF","Fold01.Rep04","Age, Sex, Living_alone, Asthma, Emphysema, Chronic_bronchitis, COPD, Heart_disease, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Hard_to_get_air, Feeling_pressure, Hard_to_breathe_deeply, Labored_breathing, Wheezing, Feeling_of_choking, Discomfort_sensation, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Breathing_sound_jarred_raspy, Irritating_cough, Losing_breath_due_to_coughing, Lumps_pieces_in_sputum, Thin_mucus, Thick_mucus, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Heartburn, Feeling_of_uneasiness_difficult_to_describe, Pain_in_shoulder_blade, Pain_in_neck, Pain_that_shifts_location, Less_will_to_do_things, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Lost_my_voice, Changes_pitch_higher_lower, Loss_of_appetite, Changes_hard_to_describe, Feeling_chilly, Fever, Day_sweats_more_than_usual, Cold_feet, Dryer_mouth, Poorer_condition_lower_fitness, Feeling_that_something_is_wrong",51
"RF","Fold01.Rep05","Age, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Asthma, Emphysema, Chronic_bronchitis, COPD, Pleural_fluid, Anemia, Heart_disease, Angina_pectoris, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Hard_to_get_air, Hard_to_breathe_deeply, Wheezing, Gasp_for_air, Feeling_of_choking, Thickness_in_throat, Lump_in_the_chest, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_rattled_wheezed, Breathing_sound_whistling, Mucus_cough, Irritating_cough, Unlike_other_coughs, White_yellow_or_green_phlegm_expectorated, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_throat, Pain_in_neck, Pain_in_chest, Pain_in_whole_body, Less_will_to_do_things, Legs_do_not_support, Difficulty_to_stay_awake, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Weaker_voice, Lost_my_voice, Changes_pitch_higher_lower, Loss_of_appetite, Food_drinks_tasted_different, Trouble_swallowing, Difficult_sensing_smells, Chills, Feeling_chilly, Fever, Cold_feet, Calf_cramp, Swollen_tender_joints, Dryer_mouth, Poorer_condition_lower_fitness, More_irritable",62
"RF","Fold01.Rep06","Age, Sex, Emphysema, Chronic_bronchitis, COPD, Heart_disease, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, Hard_to_get_air, Hard_to_breathe_deeply, Wheezing, Gasp_for_air, Feeling_of_choking, Thickness_in_throat, Uneasiness_hard_to_describe, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Breathing_sound_jarred_raspy, Wheezing_cough, Irritating_cough, Losing_breath_due_to_coughing, Coughing_fits, Difficulty_suppressing_the_cough, Thin_mucus, Thick_mucus, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_neck, Pain_in_chest, Headache, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Weaker_voice, Changes_pitch_higher_lower, Clear_throat_more_often, Trouble_swallowing, Changes_hard_to_describe, Difficult_sensing_smells, More_sensitive_to_different_smells, Changes_hard_to_describe.1, Feeling_chilly, Fever, Day_sweats_more_than_usual, Cold_feet, Swollen_tender_joints, Dryer_mouth, Poorer_condition_lower_fitness, More_irritable, Feeling_that_something_is_wrong",55
"RF","Fold01.Rep07","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Pleural_fluid, Anemia, Heart_disease, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Feeling_pressure, Hard_to_catch_breath, Gasp_for_air, Feeling_of_choking, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Dry_cough, Hacking_cough, Irritating_cough, Losing_breath_due_to_coughing, Difficulty_suppressing_the_cough, Unlike_other_coughs, Thick_consistency, Pressure_sensation, Lump_swelling_or_obstruction_sensation, Heartburn, Feeling_of_uneasiness_difficult_to_describe, Pain_in_throat, Pain_in_neck, Headache, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Difficulty_to_stay_awake, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Hoarse_voice, Weaker_voice, Lost_my_voice, Changes_pitch_higher_lower, Trouble_swallowing, Changes_hard_to_describe.1, Feeling_chilly, Fever, Day_sweats_more_than_usual, Cold_feet, Nail_changes, Dryer_mouth, More_irritable, Feeling_that_something_is_wrong",57
"RF","Fold01.Rep08","Age, Sex, Living_alone, Emphysema, Chronic_bronchitis, COPD, Heart_disease, Angina_pectoris, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Hard_to_breathe_deeply, Labored_breathing, Wheezing, Gasp_for_air, Panic_sensation, Thickness_in_throat, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Mucus_cough, Dry_cough, Barking_cough, Wheezing_cough, Irritating_cough, Losing_breath_due_to_coughing, Difficulty_suppressing_the_cough, Unlike_other_coughs, White_yellow_or_green_phlegm_expectorated, Thick_consistency, Pain_comes_and_goes, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_shoulders, Pain_in_neck, Pain_in_chest, Pain_radiated_between_shoulder_blades_to_chest, Headache, Back_pain, Pain_in_whole_body, Less_will_to_do_things, Legs_do_not_support, Felt_worn_out, Felt_abnormally_unhealthily_tires, Felt_out_of_sorts, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Lost_my_voice, Changes_pitch_higher_lower, Clear_throat_more_often, Loss_of_appetite, Lost_sense_of_smell, Changes_hard_to_describe.1, Feeling_chilly, Fever, Cold_feet, Dryer_mouth, Poorer_condition_lower_fitness, More_irritable, Feeling_that_something_is_wrong",63
"RF","Fold01.Rep09","Age, Sex, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Anemia, Heart_disease, Current_daily_smoker, Less_Smoking, Hard_to_get_air, Hard_to_breathe_deeply, Wheezing, Gasp_for_air, Feeling_of_choking, Breathing_sound_squeaked_as_if_through_a_pipe, Breathing_sound_whistling, Breathing_sound_bubbled_gurgled, Dry_cough, Irritating_cough, Losing_breath_due_to_coughing, Difficulty_suppressing_the_cough, Unlike_other_coughs, Blood_mixed_phlegm_expectorates, Thick_consistency, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Pain_persists_worsens_changing_body_position, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_throat, Pain_in_neck, Pain_in_chest, Pain_in_whole_body, Less_will_to_do_things, Became_weaker, Difficulty_to_stay_awake, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Rougher_voice, Changes_pitch_higher_lower, Early_satiety, Changes_hard_to_describe.1, Chills, Fever, Day_sweats_more_than_usual, Dryer_mouth, Poorer_condition_lower_fitness, Feeling_that_something_is_wrong",53
"RF","Fold01.Rep10","Age, Sex, Living_alone, Asthma, Emphysema, Asbestos, Chronic_bronchitis, COPD, Heart_disease, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Hard_to_get_air, Labored_breathing, Gasp_for_air, Feeling_of_choking, Panic_sensation, Uneasiness_hard_to_describe, Breathing_sound_whistling, Mucus_cough, Dry_cough, Irritating_cough, Losing_breath_due_to_coughing, Pain_comes_and_goes, Pain_persists_worsens_when_breathing, Pain_reduces_improves_when_changing_body_position, Lump_swelling_or_obstruction_sensation, Feeling_of_uneasiness_difficult_to_describe, Pain_in_shoulders, Pain_in_neck, Pain_in_chest, Less_will_to_do_things, Became_weaker, Difficulty_to_stay_awake, Did_not_feel_well_rested, Increased_need_for_sleep, Felt_worn_out, Felt_abnormally_unhealthily_tires, Persistent_fatigue, Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went, Hoarse_voice, Lost_my_voice, Changes_pitch_higher_lower, Loss_of_appetite, Do_not_enjoy_food, Early_satiety, Chills, Fever, Cold_feet, Calf_cramp, Dryer_mouth, Poorer_condition_lower_fitness, More_down, Feeling_that_something_is_wrong",54
