"resample","model","Variable","Importance","importance_scaled"
"Fold01.Rep01","RLR","Age",0.305034703776542,0.523204449735502
"Fold01.Rep01","RLR","Sex",0.214924031688162,0.368643988182789
"Fold01.Rep01","RLR","Living_alone",0.256069983273675,0.439218728340592
"Fold01.Rep01","RLR","University_education",0,0
"Fold01.Rep01","RLR","Born_in_sweden",0,0
"Fold01.Rep01","RLR","Cold_flu_pneumonia_last_2_y",0.176356109749639,0.302491159912898
"Fold01.Rep01","RLR","Antibiotics_last_2_y",0.0148764865256905,0.0255165849993691
"Fold01.Rep01","RLR","Asthma",0,0
"Fold01.Rep01","RLR","Emphysema",0,0
"Fold01.Rep01","RLR","Asbestos",0,0
"Fold01.Rep01","RLR","Chronic_bronchitis",0,0
"Fold01.Rep01","RLR","COPD",0,0
"Fold01.Rep01","RLR","Pleural_fluid",0,0
"Fold01.Rep01","RLR","Anemia",0,0
"Fold01.Rep01","RLR","Heart_disease",0,0
"Fold01.Rep01","RLR","Angina_pectoris",0,0
"Fold01.Rep01","RLR","Pneumonia",0,0
"Fold01.Rep01","RLR","No_comorbidities",0,0
"Fold01.Rep01","RLR","Weight_reduction_last_2_y",0,0
"Fold01.Rep01","RLR","Weight_increase_last_2_y",0,0
"Fold01.Rep01","RLR","Current_daily_smoker",0.476352328619361,0.817053452901853
"Fold01.Rep01","RLR","More_Smoking",0,0
"Fold01.Rep01","RLR","Less_Smoking",0,0
"Fold01.Rep01","RLR","Hard_to_get_air",0.0701401847522841,0.120306497304479
"Fold01.Rep01","RLR","Feeling_pressure",0,0
"Fold01.Rep01","RLR","Hard_to_breathe_deeply",0,0
"Fold01.Rep01","RLR","Labored_breathing",0,0
"Fold01.Rep01","RLR","Wheezing",0,0
"Fold01.Rep01","RLR","Hard_to_catch_breath",0,0
"Fold01.Rep01","RLR","Gasp_for_air",0.113594967123682,0.194841411586425
"Fold01.Rep01","RLR","Feeling_of_choking",0,0
"Fold01.Rep01","RLR","Discomfort_sensation",0,0
"Fold01.Rep01","RLR","Panic_sensation",0,0
"Fold01.Rep01","RLR","Stabbing_sensation_from_taking_deep_breaths",0,0
"Fold01.Rep01","RLR","Thickness_in_throat",0,0
"Fold01.Rep01","RLR","Lump_in_the_chest",0,0
"Fold01.Rep01","RLR","Sores_in_chest",0,0
"Fold01.Rep01","RLR","Uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Breathing_sound_squeaked_as_if_through_a_pipe",0,0
"Fold01.Rep01","RLR","Breathing_sound_rattled_wheezed",0,0
"Fold01.Rep01","RLR","Breathing_sound_whistling",0.308344008735212,0.528880666436327
"Fold01.Rep01","RLR","Breathing_sound_jarred_raspy",0,0
"Fold01.Rep01","RLR","Breathing_sound_bubbled_gurgled",0,0
"Fold01.Rep01","RLR","Breathing_sound_hissed",0,0
"Fold01.Rep01","RLR","Mucus_cough",0,0
"Fold01.Rep01","RLR","Dry_cough",0,0
"Fold01.Rep01","RLR","Barking_cough",0,0
"Fold01.Rep01","RLR","Hacking_cough",0,0
"Fold01.Rep01","RLR","Wheezing_cough",0,0
"Fold01.Rep01","RLR","Irritating_cough",0.0736402029643142,0.126309830958053
"Fold01.Rep01","RLR","Losing_breath_due_to_coughing",0,0
"Fold01.Rep01","RLR","Coughing_fits",0,0
"Fold01.Rep01","RLR","Difficulty_suppressing_the_cough",0,0
"Fold01.Rep01","RLR","Slight_cough",0,0
"Fold01.Rep01","RLR","Need_to_clear_throat",0,0
"Fold01.Rep01","RLR","Unlike_other_coughs",0.0172322841069596,0.0295573179452802
"Fold01.Rep01","RLR","Increased_amount_of_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","White_yellow_or_green_phlegm_expectorated",0,0
"Fold01.Rep01","RLR","Blood_mixed_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","Lumps_pieces_in_sputum",0.00733017601461398,0.0125729323932925
"Fold01.Rep01","RLR","Thick_consistency",0,0
"Fold01.Rep01","RLR","Thin_mucus",0,0
"Fold01.Rep01","RLR","Thick_mucus",0,0
"Fold01.Rep01","RLR","Persisting_pain",0,0
"Fold01.Rep01","RLR","Pain_comes_and_goes",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_when_breathing",0.0604878671850358,0.103750559770421
"Fold01.Rep01","RLR","Pain_reduces_improves_when_changing_body_position",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_changing_body_position",0,0
"Fold01.Rep01","RLR","Pressure_sensation",0,0
"Fold01.Rep01","RLR","Lump_swelling_or_obstruction_sensation",0,0
"Fold01.Rep01","RLR","Heartburn",0,0
"Fold01.Rep01","RLR","Feeling_of_uneasiness_difficult_to_describe",0,0
"Fold01.Rep01","RLR","Pain_in_throat",0,0
"Fold01.Rep01","RLR","Pain_in_shoulder_blade",0,0
"Fold01.Rep01","RLR","Pain_in_shoulders",0,0
"Fold01.Rep01","RLR","Pain_in_neck",0,0
"Fold01.Rep01","RLR","Pain_in_chest",0,0
"Fold01.Rep01","RLR","Pain_radiated_between_shoulder_blades_to_chest",0,0
"Fold01.Rep01","RLR","Headache",0,0
"Fold01.Rep01","RLR","Back_pain",0,0
"Fold01.Rep01","RLR","Pain_in_whole_body",0,0
"Fold01.Rep01","RLR","Pain_that_shifts_location",0,0
"Fold01.Rep01","RLR","Less_energy_to_do_things",0,0
"Fold01.Rep01","RLR","Less_will_to_do_things",0,0
"Fold01.Rep01","RLR","Became_weaker",0,0
"Fold01.Rep01","RLR","Legs_do_not_support",0,0
"Fold01.Rep01","RLR","Difficulty_to_stay_awake",0,0
"Fold01.Rep01","RLR","Did_not_feel_well_rested",0,0
"Fold01.Rep01","RLR","Increased_need_for_sleep",0,0
"Fold01.Rep01","RLR","Felt_worn_out",0,0
"Fold01.Rep01","RLR","Felt_abnormally_unhealthily_tires",0,0
"Fold01.Rep01","RLR","Felt_out_of_sorts",0,0
"Fold01.Rep01","RLR","Persistent_fatigue",0,0
"Fold01.Rep01","RLR","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",0,0
"Fold01.Rep01","RLR","Feeling_of_discomfort_uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Hoarse_voice",0,0
"Fold01.Rep01","RLR","Rougher_voice",0,0
"Fold01.Rep01","RLR","Weaker_voice",0,0
"Fold01.Rep01","RLR","Lost_my_voice",0,0
"Fold01.Rep01","RLR","Changes_pitch_higher_lower",0,0
"Fold01.Rep01","RLR","Clear_throat_more_often",0,0
"Fold01.Rep01","RLR","Voice_changes_difficult_to_describe",0,0
"Fold01.Rep01","RLR","Loss_of_appetite",0,0
"Fold01.Rep01","RLR","Do_not_enjoy_food",0,0
"Fold01.Rep01","RLR","Food_drinks_tasted_different",0,0
"Fold01.Rep01","RLR","Trouble_swallowing",0,0
"Fold01.Rep01","RLR","Early_satiety",0,0
"Fold01.Rep01","RLR","Changes_hard_to_describe",0.113083166204144,0.193963555673095
"Fold01.Rep01","RLR","Difficult_sensing_smells",0,0
"Fold01.Rep01","RLR","Lost_sense_of_smell",0,0
"Fold01.Rep01","RLR","More_sensitive_to_different_smells",0,0
"Fold01.Rep01","RLR","Changes_hard_to_describe.1",0,0
"Fold01.Rep01","RLR","Chills",0,0
"Fold01.Rep01","RLR","Feeling_chilly",0,0
"Fold01.Rep01","RLR","Fever",0.583012441753406,1
"Fold01.Rep01","RLR","Day_sweats_more_than_usual",0,0
"Fold01.Rep01","RLR","Night_sweats",0,0
"Fold01.Rep01","RLR","Sweating_all_the_time",0,0
"Fold01.Rep01","RLR","Cold_feet",0,0
"Fold01.Rep01","RLR","Calf_cramp",0,0
"Fold01.Rep01","RLR","Swollen_tender_joints",0,0
"Fold01.Rep01","RLR","Nail_changes",0,0
"Fold01.Rep01","RLR","Dryer_skin",0,0
"Fold01.Rep01","RLR","Dryer_mouth",0,0
"Fold01.Rep01","RLR","Thickness_in_throat.1",0,0
"Fold01.Rep01","RLR","Poorer_condition_lower_fitness",0,0
"Fold01.Rep01","RLR","More_down",0,0
"Fold01.Rep01","RLR","More_irritable",0,0
"Fold01.Rep01","RLR","Feeling_that_something_is_wrong",0,0
"Fold01.Rep01","RF","Age",0.0257281322789955,1
"Fold01.Rep01","RF","Sex",0.000504877258937236,0.0655174624817243
"Fold01.Rep01","RF","Living_alone",0.000119542874743427,0.0512414202798705
"Fold01.Rep01","RF","University_education",-0.000932304327381798,0.0122721103418065
"Fold01.Rep01","RF","Born_in_sweden",-0.000584763454366771,0.0251479614818807
"Fold01.Rep01","RF","Cold_flu_pneumonia_last_2_y",0.000354155669290576,0.0599334609942163
"Fold01.Rep01","RF","Antibiotics_last_2_y",-0.000199174554135615,0.0394334331087722
"Fold01.Rep01","RF","Asthma",-0.000537261271105383,0.0269078438093781
"Fold01.Rep01","RF","Emphysema",0.000201453979564343,0.0542760998651621
"Fold01.Rep01","RF","Asbestos",0,0.04681254189587
"Fold01.Rep01","RF","Chronic_bronchitis",6.57712855037882e-05,0.0492492661697412
"Fold01.Rep01","RF","COPD",0.000655436345053379,0.0710954434650812
"Fold01.Rep01","RF","Pleural_fluid",-0.000636239515866172,0.0232408531196509
"Fold01.Rep01","RF","Anemia",-1.7391304347826e-05,0.046168221002124
"Fold01.Rep01","RF","Heart_disease",0.00059451433273866,0.068838377253234
"Fold01.Rep01","RF","Angina_pectoris",-7.96757180254923e-05,0.0438606799296074
"Fold01.Rep01","RF","Pneumonia",-1.07729760439772e-05,0.0464134198165748
"Fold01.Rep01","RF","No_comorbidities",-0.00126354922106139,0
"Fold01.Rep01","RF","Weight_reduction_last_2_y",-0.000280125603001985,0.0364343221098447
"Fold01.Rep01","RF","Weight_increase_last_2_y",-0.000478435732695388,0.0290872389096748
"Fold01.Rep01","RF","Current_daily_smoker",0.0108592909802313,0.449132455911172
"Fold01.Rep01","RF","More_Smoking",-0.000301439664185927,0.0356446691501394
"Fold01.Rep01","RF","Less_Smoking",-0.000240426999954684,0.0379050938751094
"Fold01.Rep01","RF","Hard_to_get_air",0.00246536217311148,0.13815039252612
"Fold01.Rep01","RF","Feeling_pressure",6.91373209683264e-05,0.0493739725710275
"Fold01.Rep01","RF","Hard_to_breathe_deeply",-6.07802838043106e-05,0.0445607265058513
"Fold01.Rep01","RF","Labored_breathing",-6.52608995772197e-05,0.0443947266301897
"Fold01.Rep01","RF","Wheezing",-0.000301164911356592,0.0356548483169814
"Fold01.Rep01","RF","Hard_to_catch_breath",-6.36797051563003e-05,0.0444533074348319
"Fold01.Rep01","RF","Gasp_for_air",6.00611731677816e-05,0.049037715350427
"Fold01.Rep01","RF","Feeling_of_choking",-4.34502212381671e-05,0.0452027784864257
