"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Age",100,100,1,1,1,0.0318733034024689,0.00493581494828293,0.0315652527636535,1,0.151268231003645
"RF","Current_daily_smoker",100,100,1,2,1,0.0106542749424765,0.00391242366716809,0.0108314426311631,0.349699100879854,0.11990429407715
"RF","Fever",100,100,1,3,0.99,0.00345513722266215,0.00139928080398192,0.00342455045988845,0.129066674616228,0.0428838467636107
"RF","Irritating_cough",100,97,0.97,6,0.71,0.00135730123557896,0.000969584676112015,0.00123565551546139,0.0647741632423447,0.0297149225204906
"RF","Breathing_sound_whistling",100,99,0.99,8,0.62,0.00106352625100961,0.000696262708669434,0.0010138362313718,0.0557708228224638,0.0213384070022461
"RF","Living_alone",100,78,0.78,8,0.6,0.00106280684405011,0.00153669272644258,0.0010780428055341,0.0557487751121516,0.047095118589485
"RF","Sex",100,78,0.78,12,0.47,0.000993967678242066,0.0014156600939798,0.000703010321727789,0.0536390568701473,0.0433858238938386
"RF","Felt_worn_out",100,97,0.97,10,0.58,0.000807796656555433,0.000483071244488414,0.000824223022501013,0.0479334618651167,0.014804714797485
"RF","Hard_to_get_air",100,93,0.93,12,0.44,0.000762709728484895,0.000568657410776328,0.000673709186631635,0.0465516799462076,0.0174276794159742
"RF","Heart_disease",100,89,0.89,12,0.44,0.000691013663717739,0.000645254416930179,0.000584056014533199,0.0443544061422082,0.019775152678743
"RF","Dryer_mouth",100,85,0.85,16.5,0.32,0.000571421026752635,0.000677928726797666,0.00045547816671081,0.0406892430791023,0.02077652430728
"RF","Poorer_condition_lower_fitness",100,84,0.84,15,0.34,0.000570833300624899,0.000579521831016976,0.000506140621691312,0.040671230999519,0.0177606419860671
"RF","Emphysema",100,91,0.91,17,0.23,0.000517006634376803,0.000452828391324788,0.000419394512804087,0.0390216017752699,0.0138778601754015
"RF","Less_will_to_do_things",100,84,0.84,18.5,0.19,0.000434688914234837,0.000420752867973194,0.000385605354061987,0.0364988054312821,0.0128948395948589
"RF","Lump_swelling_or_obstruction_sensation",100,92,0.92,18,0.15,0.000430501615759964,0.000329326176300534,0.000386421480119493,0.0363704770316936,0.0100928800277463
"RF","Increased_need_for_sleep",100,75,0.75,24,0.17,0.000360643840100548,0.00055938822065335,0.000269983517758065,0.0342295413895408,0.0171436059635797
"RF","COPD",100,81,0.81,23,0.13,0.000336944553359902,0.000401827033445247,0.000277650460990673,0.0335032278589752,0.0123148183543328
"RF","Feeling_of_uneasiness_difficult_to_describe",100,95,0.95,22,0.05,0.000307114273368488,0.000181102952187812,0.000293313426505606,0.0325890173928364,0.00555027356050255
"RF","Wheezing",100,81,0.81,21,0.11,0.000302693747783883,0.000367194323417692,0.000316989763269199,0.0324535412673544,0.0112534275129779
"RF","Weight_reduction_last_2_y",100,70,0.7,25,0.18,0.000277965695538825,0.000496857614398857,0.000244879458129553,0.0316956990957031,0.0152272265427926
"RF","Cold_feet",100,92,0.92,25,0.05,0.000272821013847311,0.000226193022018655,0.000269955413580427,0.0315380297124895,0.00693215176513728
"RF","Feeling_chilly",100,69,0.69,30,0.09,0.000241895307902161,0.00040933210253835,0.000178877578149661,0.0305902476582841,0.0125448266786256
"RF","Breathing_sound_squeaked_as_if_through_a_pipe",100,80,0.8,25,0.04,0.000231970700724866,0.00027526805996722,0.000276066410190943,0.0302860875982239,0.0084361575381857
"RF","Pain_in_neck",100,89,0.89,30,0.01,0.000225040477865434,0.00019765065303123,0.000204519275609121,0.0300736966225914,0.00605741198850057
"RF","Gasp_for_air",100,80,0.8,28.5,0.03,0.000220446250123789,0.000266826276889821,0.000197271531540912,0.029932897036183,0.00817744168153089
"RF","Thickness_in_throat",100,66,0.66,36.5,0.08,0.000193915382220557,0.000381561890438749,0.000108923956557918,0.029119803859724,0.0116937512426707
"RF","Felt_abnormally_unhealthily_tires",100,77,0.77,33,0.03,0.000161746276395454,0.000252829594375774,0.000141368168705722,0.0281339152512329,0.00774848447263956
"RF","Hoarse_voice",100,57,0.57,33,0.15,0.000157510273259299,0.00054672229444889,0.000112335012535014,0.0280040941968283,0.0167554325269645
"RF","Lost_my_voice",100,76,0.76,35,0.02,0.000150492454274871,0.000208303290266935,0.000128270828984809,0.0277890186572464,0.00638388403152749
"RF","Feeling_of_choking",100,87,0.87,35,0.02,0.000141847064012963,0.000155188477158816,0.000104816040061352,0.0275240628384084,0.00475607101520899
"RF","Persistent_fatigue",100,72,0.72,33,0.02,0.000138253937480665,0.000273998878077827,0.000141990752641462,0.0274139440636959,0.008397260841036
"RF","Back_pain",100,64,0.64,39.5,0.03,0.000126733286351071,0.000303446621035534,7.84968643686116e-05,0.0270608699442964,0.00929974767065509
"RF","Pain_in_chest",100,66,0.66,36,0.04,0.000124452746605689,0.000287781491439414,0.000112561509691675,0.0269909780993565,0.00881965745915472
"RF","Did_not_feel_well_rested",100,68,0.68,36,0.01,0.000118643357598384,0.000297312350941831,0.000115956032872178,0.0268129373892499,0.00911175030947041
"RF","Changes_pitch_higher_lower",100,73,0.73,41,0,0.00010956184255278,0.000179666752406806,9.6445298841194e-05,0.0265346156267495,0.00550625825552923
"RF","Loss_of_appetite",100,54,0.54,43.5,0.05,0.000100069014812407,0.000372761032583684,6.59708947393061e-05,0.026243688338236,0.011424030798732
"RF","Cold_flu_pneumonia_last_2_y",100,51,0.51,40.5,0.15,9.99306638576645e-05,0.000876341401791714,7.73217188323949e-05,0.0262394482878288,0.0268572900307786
"RF","Losing_breath_due_to_coughing",100,70,0.7,40,0,9.17555019592403e-05,0.000162352689164915,6.56824599966477e-05,0.0259889035872068,0.00497563307092882
"RF","Difficulty_suppressing_the_cough",100,65,0.65,40.5,0.01,7.54979456310054e-05,0.000151452852060527,8.04601024094141e-05,0.0254906572364051,0.0046415850779865
"RF","Difficult_sensing_smells",100,52,0.52,51.5,0.1,7.26476631763536e-05,0.00042319048907111,1.23602250637448e-05,0.0254033044508381,0.0129695455218847
"RF","Pain_persists_worsens_when_breathing",100,69,0.69,47,0,5.28385054169672e-05,9.08461963456098e-05,3.32670280681588e-05,0.0247962119477091,0.00278416909033245
"RF","Day_sweats_more_than_usual",100,60,0.6,45,0,4.68357789063588e-05,0.000161712940574625,3.89286117128208e-05,0.0246122460109849,0.00495602665566524
"RF","Uneasiness_hard_to_describe",100,52,0.52,51,0.01,4.26360155577961e-05,0.000239919883230216,1.83618545298502e-05,0.0244835355996288,0.00735283974360936
"RF","Pain_in_whole_body",100,57,0.57,51.5,0,2.39654825506663e-05,6.44076454131098e-05,1.52490675724968e-05,0.0239113386008604,0.00197390515787884
"RF","Antibiotics_last_2_y",100,45,0.45,80.5,0.15,1.56908596010225e-05,0.000776986573691074,-0.000117987297771078,0.0236577457111492,0.0238123563681656
"RF","Headache",100,59,0.59,52.5,0,1.37915464567505e-05,4.2145615097208e-05,9.27812525080762e-06,0.0235995373418188,0.00129163931531368
"RF","Difficulty_to_stay_awake",100,49,0.49,56,0,1.08015770895187e-05,0.000170420080290423,-1.63099201185735e-06,0.0235079035626607,0.00522287491389835
"RF","Chills",100,47,0.47,61.5,0,6.27327294083623e-06,0.000148993634974746,-7.42180599155806e-06,0.0233691243407501,0.00456621729736305
"RF","More_irritable",100,44,0.44,66,0.05,6.22395542494293e-06,0.00035054095318491,-4.7331187627657e-05,0.0233676129037402,0.0107430506285613
"RF","Unlike_other_coughs",100,36,0.36,55,0,3.8711952798929e-06,1.20594174458485e-05,0,0.0232955077156716,0.000369585724562588
"RF","Changes_hard_to_describe.1",100,38,0.38,55.5,0,2.87538771884865e-06,1.64467985148675e-05,0,0.0232649891387482,0.000504046067991846
"RF","Wheezing_cough",100,21,0.21,55,0,2.10700778548434e-06,7.54780093814812e-06,0,0.0232414405506271,0.000231317929834162
"RF","Changes_hard_to_describe",100,42,0.42,61.5,0,2.10225478307751e-06,0.0001367145187044,-8.5729312918873e-06,0.0232412948850636,0.00418989844911501
"RF","Rougher_voice",100,48,0.48,61,0,8.54468350354562e-07,0.00021497312924688,-5.69135672523413e-06,0.0232030538958194,0.00658829500603667
"RF","Breathing_sound_jarred_raspy",100,9,0.09,55.5,0,4.95562268039975e-08,8.66969765882734e-06,0,0.0231783857033692,0.000265700769159404
"RF","Sweating_all_the_time",100,0,0,55.5,0,0,0,0,0.0231768669505711,0
"RF","Thick_mucus",100,44,0.44,61,0,-2.4492969220906e-06,0.000129133015314896,-1.73129754063398e-05,0.0231018031938279,0.0039575476381355
"RF","Pain_reduces_improves_when_changing_body_position",100,45,0.45,58,0,-2.60753617465144e-06,4.79809419087124e-05,-1.41309086436536e-06,0.0230969536255072,0.00147047494293612
