"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Age",100,92,0.92,1,0.92,0.103162807017544,0.0690083953070581,0.104,0.00690083953070581,0.0894700442405397,0.116855569794548
"RF","Current_daily_smoker",100,84,0.84,2,0.81,0.0417418947368421,0.0464889173920011,0.0471157894736842,0.00464889173920011,0.0325174849418312,0.050966304531853
"RF","Fever",100,74,0.74,5,0.58,0.0145507368421052,0.0168727986232822,0.00961403508771929,0.00168727986232822,0.0112028075372032,0.0178986661470073
"RF","Sex",100,66,0.66,8,0.55,0.00602943859649122,0.0221386852018382,0.00693508771929822,0.00221386852018382,0.00163664315015895,0.0104222340428235
"RF","Irritating_cough",100,72,0.72,11,0.49,0.00520898245614034,0.0124644813202161,0.00645614035087715,0.00124644813202161,0.00273575894330984,0.00768220596897084
"RF","Hard_to_get_air",100,68,0.68,19,0.36,0.00377663157894736,0.00857785415471938,0.00324385964912281,0.000857785415471938,0.00207459921674435,0.00547866394115038
"RF","Heart_disease",100,66,0.66,27.5,0.2,0.00156456140350877,0.00686494059676714,0.00116140350877193,0.000686494059676714,0.000202408253134858,0.00292671455388269
"RF","Increased_need_for_sleep",100,65,0.65,25.5,0.23,0.00146421052631579,0.00987791417536164,0.00249122807017545,0.000987791417536164,-0.000495781948991045,0.00342420300162262
"RF","Cold_feet",100,49,0.49,45.5,0.04,0.00101438596491228,0.00313042370271475,0,0.000313042370271475,0.000393241987254822,0.00163552994256973
"RF","Feeling_chilly",100,52,0.52,32.5,0.2,0.000973263157894734,0.00625032480445364,0.00054736842105263,0.000625032480445364,-0.000266936885097063,0.00221346320088653
"RF","Breathing_sound_whistling",100,57,0.57,27.5,0.29,0.000949964912280705,0.00940515654983029,0.00175438596491233,0.000940515654983029,-0.000916222193569023,0.00281615201813043
"RF","Pain_in_neck",100,52,0.52,41,0.06,0.000723508771929822,0.00355760147075115,0.000105263157894731,0.000355760147075115,1.76034574045027e-05,0.00142941408645514
"RF","Hoarse_voice",100,62,0.62,24.5,0.2,0.00066322807017543,0.00773845063319121,0.00231578947368423,0.000773845063319121,-0.000872248422363834,0.00219870456271469
"RF","COPD",100,58,0.58,38,0.15,0.000657508771929819,0.00498494178388274,0.000456140350877198,0.000498494178388274,-0.000331611827095338,0.00164662937095498
"RF","Uneasiness_hard_to_describe",100,53,0.53,41.5,0.11,0.000526210526315789,0.00553929130400589,0.000273684210526319,0.000553929130400589,-0.000572905044202582,0.00162532609683416
"RF","Back_pain",100,61,0.61,42.5,0.1,0.000470210526315788,0.0049243020294006,0.000421052631578982,0.00049243020294006,-0.000506877829831019,0.0014472988824626
"RF","Felt_worn_out",100,59,0.59,29,0.16,0.000442842105263154,0.00759099749077073,0.0022228070175438,0.000759099749077073,-0.00106337648480057,0.00194906069532688
"RF","Breathing_sound_squeaked_as_if_through_a_pipe",100,51,0.51,46.5,0.07,0.00034214035087719,0.00386460083807911,1.67157954145125e-17,0.000386460083807911,-0.000424680298525974,0.00110896100028036
"RF","Nail_changes",100,55,0.55,39,0.05,0.000331614035087721,0.00484122959603674,0.000466666666666664,0.000484122959603674,-0.000628990948010074,0.00129221901818552
"RF","Losing_breath_due_to_coughing",100,50,0.5,46.5,0.01,0.000304035087719293,0.00309337914947868,3.50877192982458e-05,0.000309337914947868,-0.000309758446888664,0.000917828622327249
"RF","Chills",100,48,0.48,45,0.01,0.000299368421052629,0.00221919740861175,0,0.000221919740861175,-0.00014096849065578,0.000739705332761038
"RF","Emphysema",100,52,0.52,38.5,0.18,0.000255964912280699,0.00774506485911586,0.000273684210526318,0.000774506485911586,-0.0012808239861787,0.00179275381074009
"RF","Thick_consistency",100,51,0.51,47.5,0.02,0.000212245614035081,0.0022154360971846,1.157893225745e-17,0.00022154360971846,-0.000227344971883932,0.000651836199954095
"RF","Blood_mixed_phlegm_expectorates",100,43,0.43,47,0.05,0.000206771929824562,0.00372422212112696,0,0.000372422212112696,-0.000532194536596761,0.000945738396245885
"RF","Persistent_fatigue",100,55,0.55,39.5,0.08,0.000195403508771929,0.00558377236097787,0.000170175438596485,0.000558377236097787,-0.00091253806847327,0.00130334508601713
"RF","Thick_mucus",100,43,0.43,49.5,0.01,0.00016978947368421,0.00193451705974634,0,0.000193451705974634,-0.000214060680623971,0.000553639627992391
"RF","Pain_persists_worsens_when_breathing",100,32,0.32,51,0.01,0.00016557894736842,0.00106421574271303,0,0.000106421574271303,-4.55845443152131e-05,0.000376742439052052
"RF","Difficult_sensing_smells",100,52,0.52,48,0.17,0.000138035087719289,0.00741544674680394,0.000210526315789482,0.000741544674680394,-0.00133335042614018,0.00160942060157876
"RF","Dryer_mouth",100,59,0.59,30,0.25,0.000116561403508764,0.00956173045634475,0.00150350877192985,0.000956173045634475,-0.00178069336228917,0.0020138161693067
"RF","Poorer_condition_lower_fitness",100,52,0.52,42,0.19,0.000114666666666662,0.00850479495315926,0.000385964912280645,0.000850479495315926,-0.00157286916491586,0.00180220249824918
"RF","Lump_swelling_or_obstruction_sensation",100,54,0.54,44.5,0.12,5.70526315789505e-05,0.00461361879547193,0.000205263157894718,0.000461361879547193,-0.000858389430634361,0.000972494693792262
"RF","Rougher_voice",100,53,0.53,47,0.03,3.9578947368418e-05,0.00372746765055259,0.000140350877192991,0.000372746765055259,-0.000700031502503227,0.000779189397240063
"RF","Unlike_other_coughs",100,9,0.09,50,0,3.76842105263153e-05,0.000333370683526327,0,3.33370683526327e-05,-2.84637656151735e-05,0.000103832186667804
"RF","Weight_reduction_last_2_y",100,51,0.51,40,0.19,3.60350877192966e-05,0.00793038278456223,0.000280701754385958,0.000793038278456223,-0.00153752490765045,0.00160959508308904
"RF","Changes_hard_to_describe.1",100,8,0.08,50.5,0,8.21052631578924e-06,0.000135603953418428,0,1.35603953418428e-05,-1.86962399917087e-05,3.51172926232872e-05
"RF","Asbestos",100,6,0.06,51.5,0,4.17543859649133e-06,7.71151235268856e-05,0,7.71151235268856e-06,-1.11258749360814e-05,1.9476752129064e-05
"RF","Wheezing",100,50,0.5,51.5,0.15,1.85964912281022e-06,0.00683897045023307,7.01754385964972e-05,0.000683897045023307,-0.00135514046075229,0.00135885975899791
"RF","Sweating_all_the_time",100,0,0,52,0,0,0,0,0,0,0
"RF","Wheezing_cough",100,1,0.01,52,0,-1.40350877192983e-06,2.35824238173705e-05,0,2.35824238173705e-06,-6.082773281722e-06,3.27575573786234e-06
"RF","Breathing_sound_jarred_raspy",100,1,0.01,52,0,-4.80701754385962e-06,4.32781727824762e-05,0,4.32781727824762e-06,-1.33943459507271e-05,3.7803108630079e-06
"RF","Headache",100,23,0.23,52,0,-1.27017543859653e-05,0.000574205613611255,0,5.74205613611255e-05,-0.000126636605608319,0.000101233096836388
"RF","Pain_reduces_improves_when_changing_body_position",100,26,0.26,49,0,-1.60350877192984e-05,0.000750248122131726,0,7.50248122131726e-05,-0.000164900591902263,0.000132830416463666
"RF","Stabbing_sensation_from_taking_deep_breaths",100,31,0.31,50,0,-2.78245614035081e-05,0.000455390611912763,0,4.55390611912763e-05,-0.00011818393857857,6.25348157715535e-05
"RF","Less_Smoking",100,52,0.52,42.5,0.07,-2.90175438596488e-05,0.00546289732744219,0.000103508771929824,0.000546289732744219,-0.00111297489204834,0.00105493980432904
"RF","Pain_that_shifts_location",100,9,0.09,52,0,-2.91228070175446e-05,0.000355469679603903,0,3.55469679603903e-05,-9.96557034220502e-05,4.1410089386961e-05
"RF","Pain_in_chest",100,48,0.48,47,0.03,-3.77543859649108e-05,0.00445623032612213,-3.50877192982567e-05,0.000445623032612213,-0.00092196716129141,0.000846458389361588
"RF","Lost_my_voice",100,42,0.42,49.5,0.08,-4.12280701754403e-05,0.00375706127012907,0,0.000375706127012907,-0.00078671053620933,0.000704254395858449
"RF","Chronic_bronchitis",100,26,0.26,48.5,0.01,-4.27017543859642e-05,0.00157620152722745,0,0.000157620152722745,-0.000355454333330074,0.000270050824558146
"RF","Thin_mucus",100,21,0.21,51.5,0.01,-4.4385964912281e-05,0.000927626406098056,0,9.27626406098056e-05,-0.000228447168884176,0.000139675239059614
"RF","Changes_hard_to_describe",100,27,0.27,50.5,0.01,-4.50877192982455e-05,0.00276477623778021,0,0.000276477623778021,-0.000593679307132927,0.000503503868536436
"RF","Feeling_of_choking",100,37,0.37,52.5,0.02,-4.87719298245642e-05,0.00288573519174359,0,0.000288573519174359,-0.000621364398349274,0.000523820538700146
"RF","Anemia",100,16,0.16,51,0,-5.04912280701757e-05,0.000685502743356094,0,6.85502743356094e-05,-0.000186509844442791,8.55273883024398e-05
"RF","Pain_in_whole_body",100,21,0.21,52,0,-6.16491228070157e-05,0.000890444545843701,0,8.90444545843701e-05,-0.00023833263903809,0.000115034393424058
"RF","Feeling_of_uneasiness_difficult_to_describe",100,49,0.49,49.5,0.11,-6.4210526315788e-05,0.00450922675228707,0,0.000450922675228707,-0.000958938942359284,0.000830517889727708
"RF","Pain_in_throat",100,15,0.15,53.5,0,-9.73684210526305e-05,0.000680796450477928,0,6.80796450477928e-05,-0.000232453206814447,3.77163647091862e-05
"RF","Lump_in_the_chest",100,31,0.31,52.5,0,-0.000118245614035086,0.0012145379853864,0,0.00012145379853864,-0.000359236299930017,0.000122745071859845
