"model","alpha","lambda","mtry","splitrule","min.node.size","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","ROC_mean","ROC_sd","Sens_mean","Sens_sd","Spec_mean","Spec_sd","Accuracy_mean","Accuracy_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","F1_mean","F1_sd","Precision_mean","Precision_sd","PPV_mean","PPV_sd","NPV_mean","NPV_sd","Kappa_mean","Kappa_sd","MCC_mean","MCC_sd","PR_AUC_mean","PR_AUC_sd"
"RF",NA,NA,2,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.656417543859649,0.0855106609445175,0.413333333333333,0.123182636116575,0.747973684210526,0.107551453351121,0.601126050420168,0.0723016904106286,0.58065350877193,0.0729279993098802,0.47019539220452,0.107877774542107,0.568948902318871,0.116129444100811,0.568948902318871,0.116129444100811,0.621211862062048,0.0568268641648343,0.166013525267346,0.149465487289146,0.17465212670435,0.15507115019018,0.569186137781061,0.0867499224670782
"RF",NA,NA,2,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.657042105263158,0.0872892987928669,0.400666666666667,0.126240644551192,0.741157894736842,0.109305375054519,0.591739495798319,0.0791452338875304,0.570912280701754,0.0799550959625445,0.456685273606204,0.115770664545596,0.553303812114958,0.125902371720174,0.553303812114958,0.125902371720174,0.613539934200842,0.0627363977026295,0.145988081476314,0.163607318376049,0.153356524522773,0.169965902021743,0.568545715373865,0.0901470565636712
"RF",NA,NA,2,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.659750877192982,0.087682470312703,0.4,0.124631893456058,0.74371052631579,0.106993287574494,0.592890756302521,0.0765497323337301,0.571855263157895,0.0773107994611544,0.456909181996387,0.114190747800776,0.554335170763189,0.122407924741349,0.554335170763189,0.122407924741349,0.614268404677701,0.0599255694904873,0.147993629563533,0.158500447761893,0.15528651621085,0.16469721423802,0.566095563608381,0.0880916375884921
"RF",NA,NA,2,"gini",10,NA,NA,NA,NA,NA,NA,NA,0.660082456140351,0.0888882784017481,0.398,0.12479568037648,0.751605263157895,0.112630842982287,0.59644537815126,0.0754266237032617,0.574802631578947,0.0756582286113439,0.457350805568208,0.112360399310602,0.564129377502443,0.123011004919574,0.564129377502443,0.123011004919574,0.615729613255214,0.0602244571330945,0.154423884853148,0.154747706312825,0.163464035066053,0.161795090062663,0.568888667719888,0.0927131784282372
"RF",NA,NA,2,"gini",15,NA,NA,NA,NA,NA,NA,NA,0.664022807017544,0.087668453295498,0.396666666666667,0.120744045729488,0.753684210526316,0.112334267525715,0.596991596638655,0.0777880396219164,0.575175438596491,0.0776900889928483,0.458149604816494,0.111335021471898,0.566194518716578,0.129472330296954,0.566194518716578,0.129472330296954,0.615570198809604,0.0599170028734086,0.155396070625133,0.159658614684593,0.164854826065185,0.167716567045147,0.570282936986173,0.0925898810515613
"RF",NA,NA,2,"gini",20,NA,NA,NA,NA,NA,NA,NA,0.664,0.0903149513333908,0.386,0.126879141305088,0.753105263157895,0.107758423246519,0.592016806722689,0.0777289932888846,0.569552631578947,0.0785648524527753,0.447041186531717,0.117414810441861,0.555517016566165,0.130502358780686,0.555517016566165,0.130502358780686,0.611939015540665,0.0615002352256624,0.143645967558711,0.161138062827305,0.152161268219923,0.169258689571777,0.568475033792012,0.0978925547251443
"RF",NA,NA,2,"gini",30,NA,NA,NA,NA,NA,NA,NA,0.668529824561404,0.0891371075414451,0.383333333333333,0.114248631148983,0.776184210526316,0.103358888454756,0.603756302521008,0.0670375969012204,0.579758771929825,0.0672344815663926,0.453077575021888,0.10353986935724,0.583042731778026,0.120020462382766,0.583042731778026,0.120020462382766,0.617679239733116,0.0509246769837934,0.165477384981666,0.138461194207958,0.178181923184906,0.146490116738833,0.57441746413378,0.0965203245529019
"RF",NA,NA,5,"gini",1,NA,NA,NA,NA,NA,NA,NA,0.628882456140351,0.0906901480732795,0.482,0.132609144425206,0.678684210526316,0.112156343113762,0.592411764705882,0.0736269453896636,0.580342105263158,0.074945414784474,0.50344677657719,0.102773063006676,0.545020084275889,0.104644894564996,0.545020084275889,0.104644894564996,0.628965757513677,0.065617481396984,0.162313207285857,0.151298523586007,0.166862079669735,0.155058225016686,0.53752275192519,0.0840009195486374
"RF",NA,NA,5,"gini",3,NA,NA,NA,NA,NA,NA,NA,0.634126315789474,0.0892872710362842,0.487333333333333,0.130850622932738,0.682736842105263,0.114069630395823,0.597025210084034,0.0793268409008591,0.585035087719298,0.0801690692279427,0.509986719199865,0.103577815851543,0.55100057978657,0.104344321416501,0.55100057978657,0.104344321416501,0.632183815823976,0.0721680058509276,0.171988226854647,0.161198991657779,0.176261405112886,0.16428331206434,0.536396604366756,0.0832933683468409
"RF",NA,NA,5,"gini",5,NA,NA,NA,NA,NA,NA,NA,0.639261403508772,0.0920890622950797,0.497333333333333,0.136468197846857,0.681263157894737,0.111925199766464,0.600563025210084,0.0803654060150066,0.589298245614035,0.0819027859808087,0.516737252278515,0.107179926376284,0.554145097642893,0.107291633104378,0.554145097642893,0.107291633104378,0.637137454970733,0.0726364655660334,0.180161394383018,0.164694829793367,0.184559133783237,0.167474799004364,0.544401480706181,0.0862965758013826
