"model","resample","variables","n_variables"
"RF","Fold01.Rep01","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Current_daily_smoker, Less_Smoking",9
"RF","Fold01.Rep02","Age, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",12
"RF","Fold01.Rep03","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Anemia, Pneumonia, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",15
"RF","Fold01.Rep04","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",11
"RF","Fold01.Rep05","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, No_comorbidities, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",14
"RF","Fold01.Rep06","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Current_daily_smoker, Less_Smoking",11
"RF","Fold01.Rep07","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Emphysema, COPD, Pleural_fluid, Heart_disease, No_comorbidities, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",13
"RF","Fold01.Rep08","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Heart_disease, Pneumonia, No_comorbidities, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",14
"RF","Fold01.Rep09","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Current_daily_smoker, Less_Smoking",9
"RF","Fold01.Rep10","Age, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Emphysema, COPD, Pleural_fluid, Heart_disease, No_comorbidities, Current_daily_smoker, More_Smoking, Less_Smoking",13
"RF","Fold02.Rep01","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, Pneumonia, Current_daily_smoker, Less_Smoking",14
"RF","Fold02.Rep02","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Asthma, Emphysema, Chronic_bronchitis, COPD, Pleural_fluid, Heart_disease, Current_daily_smoker, Less_Smoking",13
"RF","Fold02.Rep03","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",13
"RF","Fold02.Rep04","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, Weight_reduction_last_2_y, Current_daily_smoker, Less_Smoking",13
"RF","Fold02.Rep05","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, COPD, Pleural_fluid, No_comorbidities, Current_daily_smoker, Less_Smoking",11
"RF","Fold02.Rep06","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, Pneumonia, Current_daily_smoker, Less_Smoking",14
"RF","Fold02.Rep07","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, Chronic_bronchitis, COPD, Pleural_fluid, Heart_disease, Weight_reduction_last_2_y, Weight_increase_last_2_y, Current_daily_smoker, More_Smoking, Less_Smoking",17
"RF","Fold02.Rep08","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Pneumonia, Current_daily_smoker, Less_Smoking",13
"RF","Fold02.Rep09","Age, Sex, Living_alone, University_education, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Current_daily_smoker, Less_Smoking",12
"RF","Fold02.Rep10","Age, Sex, Living_alone, Cold_flu_pneumonia_last_2_y, Antibiotics_last_2_y, Asthma, Emphysema, COPD, Pleural_fluid, Heart_disease, Current_daily_smoker, Less_Smoking",12
