"resample","model","Variable","Importance","importance_scaled"
"Fold01.Rep01","RLR","Age",0.33724365103112,0.637052081233181
"Fold01.Rep01","RLR","Sex",0.292715886603533,0.552939289444442
"Fold01.Rep01","RLR","Living_alone",0.278092652934385,0.525316052017119
"Fold01.Rep01","RLR","University_education",0,0
"Fold01.Rep01","RLR","Born_in_sweden",0,0
"Fold01.Rep01","RLR","Cold_flu_pneumonia_last_2_y",0.216220246099083,0.408439291180195
"Fold01.Rep01","RLR","Antibiotics_last_2_y",0.047174713727615,0.0891128697897518
"Fold01.Rep01","RLR","Asthma",0,0
"Fold01.Rep01","RLR","Emphysema",0,0
"Fold01.Rep01","RLR","Asbestos",0,0
"Fold01.Rep01","RLR","Chronic_bronchitis",0,0
"Fold01.Rep01","RLR","COPD",0,0
"Fold01.Rep01","RLR","Pleural_fluid",0,0
"Fold01.Rep01","RLR","Anemia",0,0
"Fold01.Rep01","RLR","Heart_disease",0,0
"Fold01.Rep01","RLR","Angina_pectoris",0,0
"Fold01.Rep01","RLR","Pneumonia",0,0
"Fold01.Rep01","RLR","No_comorbidities",0,0
"Fold01.Rep01","RLR","Weight_reduction_last_2_y",0,0
"Fold01.Rep01","RLR","Weight_increase_last_2_y",0,0
"Fold01.Rep01","RLR","Current_daily_smoker",0.529381601545507,1
"Fold01.Rep01","RLR","More_Smoking",0,0
"Fold01.Rep01","RLR","Less_Smoking",0,0
"Fold01.Rep01","RF","Age",0.0106683562786033,1
"Fold01.Rep01","RF","Sex",0.00224662586950998,0.277806179062391
"Fold01.Rep01","RF","Living_alone",0.00490756914352408,0.50599168216084
"Fold01.Rep01","RF","University_education",-0.000321973211644082,0.0575395242579896
"Fold01.Rep01","RF","Born_in_sweden",-0.000992959790481258,0
"Fold01.Rep01","RF","Cold_flu_pneumonia_last_2_y",0.00140573161272486,0.205696457329144
"Fold01.Rep01","RF","Antibiotics_last_2_y",0.00105269200717336,0.175422035174731
"Fold01.Rep01","RF","Asthma",-0.000317308003915801,0.0579395826819825
"Fold01.Rep01","RF","Emphysema",0.000567627137779448,0.133825969471661
"Fold01.Rep01","RF","Asbestos",0,0.0851498908526888
"Fold01.Rep01","RF","Chronic_bronchitis",-0.000295030790426252,0.0598499342544443
"Fold01.Rep01","RF","COPD",0.00128413586252187,0.195269182270083
"Fold01.Rep01","RF","Pleural_fluid",-0.000187702836566963,0.0690536942094486
"Fold01.Rep01","RF","Anemia",-0.000278474047643797,0.0612697347884808
"Fold01.Rep01","RF","Heart_disease",-0.000595928041940946,0.034046907414926
"Fold01.Rep01","RF","Angina_pectoris",-0.000683511287713155,0.0265363275409784
"Fold01.Rep01","RF","Pneumonia",-4.75573186275153e-05,0.0810716788956701
"Fold01.Rep01","RF","No_comorbidities",-0.000370966871136394,0.0533381408804994
"Fold01.Rep01","RF","Weight_reduction_last_2_y",-9.85803106447107e-05,0.0766962729196274
"Fold01.Rep01","RF","Weight_increase_last_2_y",-0.000143422643713511,0.0728508807869433
