"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Age",100,100,1,1,1,0.0124948236886831,0.00169140339322617,0.0122549735976295,1,0.125288255752722
"RF","Current_daily_smoker",100,100,1,2,1,0.00607085849950379,0.00163584073074021,0.0063978895216462,0.524154086014143,0.12117253203139
"RF","Living_alone",100,100,1,3,1,0.00411022380232883,0.00136709266211632,0.00394593294305606,0.378922911498891,0.101265408225415
"RF","COPD",100,100,1,5,0.99,0.00214520647408685,0.000679398022602871,0.00211599168995035,0.233367099937153,0.0503254241741848
"RF","Cold_flu_pneumonia_last_2_y",100,99,0.99,5,0.94,0.00198749323264363,0.000964109593281956,0.00185346929497168,0.221684720081074,0.0714150212660778
"RF","Emphysema",100,99,0.99,7,0.94,0.00131752938723778,0.000666054032316972,0.00128774257682219,0.172058118913991,0.0493369874272816
"RF","Less_Smoking",100,97,0.97,8,0.9,0.00107793701491078,0.000559110326686835,0.000970200725482279,0.154310661068793,0.0414152873787936
"RF","Sex",100,88,0.88,8,0.73,0.000927316780408116,0.000876495507411243,0.000768931718331803,0.143153685425088,0.0649251347954274
"RF","Antibiotics_last_2_y",100,80,0.8,9,0.67,0.000674060297863139,0.000688639740045858,0.000693776378666456,0.124394078412825,0.0510099910038533
"RF","Asthma",100,82,0.82,10,0.61,0.000518923206297269,0.000538071052652953,0.000473085154131373,0.11290252312644,0.0398568336376191
"RF","University_education",100,71,0.71,11,0.46,0.000429701730664086,0.000622049369296586,0.000298997503342588,0.106293571588011,0.0460774057704809
"RF","Pleural_fluid",100,65,0.65,11.5,0.26,0.000219868505809511,0.000518499346135286,0.000170646963042041,0.0907504794751038,0.0384070878339137
"RF","Heart_disease",100,40,0.4,15,0.11,-0.000108467031602616,0.00041735631765789,-6.62401493756009e-05,0.0664295002523209,0.0309150645411672
"RF","Weight_reduction_last_2_y",100,43,0.43,15,0.11,-0.000111793383888887,0.000388913046547658,-0.000104730223111177,0.0661831055261219,0.0288081704438901
