"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Age",100,93,0.93,1,0.93,0.0692031052631579,0.0498860180837864,0.0660614035087718,0.00498860180837864,0.0593046369902583,0.0791015735360574
"RF","Current_daily_smoker",100,83,0.83,2,0.8,0.0316068070175438,0.03448866546429,0.0328666666666666,0.003448866546429,0.0247635075523601,0.0384501064827276
"RF","Living_alone",100,73,0.73,4,0.7,0.0183272631578947,0.0305491846113072,0.0216140350877192,0.00305491846113072,0.0122656421616049,0.0243888841541846
"RF","COPD",100,76,0.76,6,0.7,0.0102486315789474,0.0171598250943981,0.00971929824561411,0.00171598250943981,0.0068437499950911,0.0136535131628036
"RF","Sex",100,69,0.69,5.5,0.67,0.00719045614035087,0.0223679823584658,0.0114035087719298,0.00223679823584658,0.00275216316350549,0.0116287491171962
"RF","Cold_flu_pneumonia_last_2_y",100,61,0.61,7,0.6,0.00601638596491228,0.0226234184813337,0.00750877192982453,0.00226234184813337,0.0015274089195627,0.0105053630102619
"RF","Emphysema",100,56,0.56,8,0.53,0.00402631578947368,0.0161587856915223,0.00409824561403504,0.00161587856915223,0.000820062140856624,0.00723256943809074
"RF","Pleural_fluid",100,61,0.61,9,0.57,0.000753438596491222,0.0160436761045235,0.00340350877192984,0.00160436761045235,-0.00242997481274452,0.00393685200572697
"RF","University_education",100,55,0.55,10,0.51,0.000319333333333335,0.0161603084318321,0.00240526315789477,0.00161603084318321,-0.00288722245999728,0.00352588912666395
"RF","Asthma",100,52,0.52,11,0.46,-0.000547403508771942,0.0145828382256282,0.00112280701754385,0.00145828382256282,-0.00344095498972533,0.00234614797218144
"RF","Weight_reduction_last_2_y",100,47,0.47,12,0.38,-0.000552000000000002,0.00972844686479421,-0.000307017543859632,0.000972844686479421,-0.00248233491817324,0.00137833491817324
"RF","Asbestos",100,3,0.03,11.5,0.03,-0.000600666666666669,0.00192204315850501,0,0.000192204315850501,-0.000982041728345304,-0.000219291604988034
"RF","Less_Smoking",100,54,0.54,10.5,0.46,-0.000841508771929831,0.0129604175489684,0.000491228070175412,0.00129604175489684,-0.00341313679195996,0.00173011924810029
"RF","Chronic_bronchitis",100,23,0.23,12,0.11,-0.00106028070175439,0.00501711993341431,0,0.000501711993341431,-0.00205578614375667,-6.47752597521089e-05
"RF","Anemia",100,16,0.16,11.5,0.05,-0.00132912280701754,0.00529974141330028,0,0.000529974141330028,-0.00238070648214704,-0.000277539131888048
"RF","Heart_disease",100,46,0.46,12,0.37,-0.0024141052631579,0.0112995575132403,-0.000433333333333295,0.00112995575132403,-0.0046561826194776,-0.000172027906838187
"RF","More_Smoking",100,9,0.09,12,0.04,-0.00266852631578947,0.00621689261530938,0,0.000621689261530938,-0.0039020926871384,-0.00143495994444055
"RF","Angina_pectoris",100,18,0.18,12,0.08,-0.00351147368421053,0.00856928632046277,0,0.000856928632046277,-0.00521180600221651,-0.00181114136620455
"RF","No_comorbidities",100,36,0.36,14,0.23,-0.00351371929824562,0.0110790250290349,-0.00231578947368418,0.00110790250290349,-0.00571203822521175,-0.00131540037127949
"RF","Born_in_sweden",100,27,0.27,14,0.14,-0.00400529824561404,0.00733159072103627,-0.00463157894736842,0.000733159072103627,-0.00546004490469142,-0.00255055158653666
