"resample","model","Variable","Importance","importance_scaled"
"Fold01.Rep01","RLR","Hard_to_get_air",0,0
"Fold01.Rep01","RLR","Feeling_pressure",0,0
"Fold01.Rep01","RLR","Hard_to_breathe_deeply",0,0
"Fold01.Rep01","RLR","Labored_breathing",0,0
"Fold01.Rep01","RLR","Wheezing",0,0
"Fold01.Rep01","RLR","Hard_to_catch_breath",0,0
"Fold01.Rep01","RLR","Gasp_for_air",0,0
"Fold01.Rep01","RLR","Feeling_of_choking",0,0
"Fold01.Rep01","RLR","Discomfort_sensation",0,0
"Fold01.Rep01","RLR","Panic_sensation",0,0
"Fold01.Rep01","RLR","Stabbing_sensation_from_taking_deep_breaths",0,0
"Fold01.Rep01","RLR","Thickness_in_throat",0,0
"Fold01.Rep01","RLR","Lump_in_the_chest",0,0
"Fold01.Rep01","RLR","Sores_in_chest",0,0
"Fold01.Rep01","RLR","Uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Breathing_sound_squeaked_as_if_through_a_pipe",0,0
"Fold01.Rep01","RLR","Breathing_sound_rattled_wheezed",0,0
"Fold01.Rep01","RLR","Breathing_sound_whistling",0,0
"Fold01.Rep01","RLR","Breathing_sound_jarred_raspy",0,0
"Fold01.Rep01","RLR","Breathing_sound_bubbled_gurgled",0,0
"Fold01.Rep01","RLR","Breathing_sound_hissed",0,0
"Fold01.Rep01","RLR","Mucus_cough",0,0
"Fold01.Rep01","RLR","Dry_cough",0,0
"Fold01.Rep01","RLR","Barking_cough",0,0
"Fold01.Rep01","RLR","Hacking_cough",0,0
"Fold01.Rep01","RLR","Wheezing_cough",0,0
"Fold01.Rep01","RLR","Irritating_cough",0,0
"Fold01.Rep01","RLR","Losing_breath_due_to_coughing",0,0
"Fold01.Rep01","RLR","Coughing_fits",0,0
"Fold01.Rep01","RLR","Difficulty_suppressing_the_cough",0,0
"Fold01.Rep01","RLR","Slight_cough",0,0
"Fold01.Rep01","RLR","Need_to_clear_throat",0,0
"Fold01.Rep01","RLR","Unlike_other_coughs",0,0
"Fold01.Rep01","RLR","Increased_amount_of_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","White_yellow_or_green_phlegm_expectorated",0,0
"Fold01.Rep01","RLR","Blood_mixed_phlegm_expectorates",0,0
"Fold01.Rep01","RLR","Lumps_pieces_in_sputum",0,0
"Fold01.Rep01","RLR","Thick_consistency",0,0
"Fold01.Rep01","RLR","Thin_mucus",0,0
"Fold01.Rep01","RLR","Thick_mucus",0,0
"Fold01.Rep01","RLR","Persisting_pain",0,0
"Fold01.Rep01","RLR","Pain_comes_and_goes",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_when_breathing",0,0
"Fold01.Rep01","RLR","Pain_reduces_improves_when_changing_body_position",0,0
"Fold01.Rep01","RLR","Pain_persists_worsens_changing_body_position",0,0
"Fold01.Rep01","RLR","Pressure_sensation",0,0
"Fold01.Rep01","RLR","Lump_swelling_or_obstruction_sensation",0,0
"Fold01.Rep01","RLR","Heartburn",0,0
"Fold01.Rep01","RLR","Feeling_of_uneasiness_difficult_to_describe",0,0
"Fold01.Rep01","RLR","Pain_in_throat",0,0
"Fold01.Rep01","RLR","Pain_in_shoulder_blade",0,0
"Fold01.Rep01","RLR","Pain_in_shoulders",0,0
"Fold01.Rep01","RLR","Pain_in_neck",0,0
"Fold01.Rep01","RLR","Pain_in_chest",0,0
"Fold01.Rep01","RLR","Pain_radiated_between_shoulder_blades_to_chest",0,0
"Fold01.Rep01","RLR","Headache",0,0
"Fold01.Rep01","RLR","Back_pain",0,0
"Fold01.Rep01","RLR","Pain_in_whole_body",0,0
"Fold01.Rep01","RLR","Pain_that_shifts_location",0,0
"Fold01.Rep01","RLR","Less_energy_to_do_things",0,0
"Fold01.Rep01","RLR","Less_will_to_do_things",0,0
"Fold01.Rep01","RLR","Became_weaker",0,0
"Fold01.Rep01","RLR","Legs_do_not_support",0,0
"Fold01.Rep01","RLR","Difficulty_to_stay_awake",0,0
"Fold01.Rep01","RLR","Did_not_feel_well_rested",0,0
"Fold01.Rep01","RLR","Increased_need_for_sleep",0,0
"Fold01.Rep01","RLR","Felt_worn_out",0,0
"Fold01.Rep01","RLR","Felt_abnormally_unhealthily_tires",0,0
"Fold01.Rep01","RLR","Felt_out_of_sorts",0,0
"Fold01.Rep01","RLR","Persistent_fatigue",0,0
"Fold01.Rep01","RLR","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",0,0
"Fold01.Rep01","RLR","Feeling_of_discomfort_uneasiness_hard_to_describe",0,0
"Fold01.Rep01","RLR","Hoarse_voice",0,0
"Fold01.Rep01","RLR","Rougher_voice",0,0
"Fold01.Rep01","RLR","Weaker_voice",0,0
"Fold01.Rep01","RLR","Lost_my_voice",0,0
"Fold01.Rep01","RLR","Changes_pitch_higher_lower",0,0
"Fold01.Rep01","RLR","Clear_throat_more_often",0,0
"Fold01.Rep01","RLR","Voice_changes_difficult_to_describe",0,0
"Fold01.Rep01","RLR","Loss_of_appetite",0,0
"Fold01.Rep01","RLR","Do_not_enjoy_food",0,0
"Fold01.Rep01","RLR","Food_drinks_tasted_different",0,0
"Fold01.Rep01","RLR","Trouble_swallowing",0,0
"Fold01.Rep01","RLR","Early_satiety",0,0
"Fold01.Rep01","RLR","Changes_hard_to_describe",0,0
"Fold01.Rep01","RLR","Difficult_sensing_smells",0,0
"Fold01.Rep01","RLR","Lost_sense_of_smell",0,0
"Fold01.Rep01","RLR","More_sensitive_to_different_smells",0,0
"Fold01.Rep01","RLR","Changes_hard_to_describe.1",0,0
"Fold01.Rep01","RLR","Chills",0,0
