"model","Variable","n_total","n_selected","selection_frequency","median_rank","freq_top10","mean_importance","sd_importance","median_importance","importance_scaled","sd_importance_scaled"
"RF","Fever",100,100,1,1,1,0.00778091509256794,0.00216399341680927,0.00778337026795391,1,0.241447247942442
"RF","Mucus_cough",100,100,1,5,0.95,0.00484970593550172,0.0014511820256142,0.00465270342727229,0.67295076841738,0.161915421565706
"RF","Increased_need_for_sleep",100,100,1,5,0.94,0.00466141807908381,0.00134769086222427,0.00439538093812047,0.65194257846636,0.150368410196465
"RF","Dry_cough",100,100,1,6,0.86,0.00442663218774413,0.00144421285827918,0.00411536562495991,0.625746377091929,0.161137837742936
"RF","Felt_out_of_sorts",100,100,1,5,0.83,0.00435297292261514,0.00122607802447948,0.0043418015954179,0.617527855393706,0.136799475670202
"RF","Irritating_cough",100,98,0.98,7,0.64,0.00419362289615234,0.00290403691172842,0.00388814467332008,0.599748399573675,0.324017492296231
"RF","Labored_breathing",100,100,1,7,0.82,0.00386184632872841,0.00106598341948875,0.00370894044568645,0.562730477747271,0.118936943610174
"RF","Breathing_sound_whistling",100,100,1,9,0.54,0.00336829394923366,0.00154018143462193,0.00318704147359366,0.507662443427574,0.171845517566232
"RF","Less_energy_to_do_things",100,100,1,10,0.57,0.00326196491105392,0.000859501463086416,0.0033244090570634,0.495798796595082,0.0958987496231407
"RF","Did_not_feel_well_rested",100,100,1,11,0.37,0.00293542613600182,0.000763879724946698,0.00285382204396998,0.459365280683987,0.0852297682214553
"RF","Loss_of_appetite",100,99,0.99,13,0.39,0.00276354689838263,0.00137329985399086,0.00255413902771082,0.440187879967681,0.153225729695034
"RF","Dryer_mouth",100,96,0.96,14,0.35,0.00276171021973335,0.00214114876102786,0.00254577320717041,0.439982952816896,0.238898358825788
"RF","Less_will_to_do_things",100,100,1,14.5,0.31,0.00260185111195082,0.00141932347330485,0.00237788732748682,0.422146696323318,0.158360808266621
"RF","Lost_sense_of_smell",100,99,0.99,13,0.18,0.00239374655122396,0.000932486953450399,0.00254898241686908,0.398927460496871,0.104042095000825
"RF","Became_weaker",100,100,1,15,0.21,0.00238048455190893,0.000813424025952419,0.00227785927876999,0.397447754869324,0.090757666336183
"RF","Hoarse_voice",100,100,1,17,0.22,0.00229859169097668,0.0013659423763432,0.00209155102782703,0.388310570927527,0.15240482020611
"RF","Coughing_fits",100,100,1,15,0.16,0.00227749978863668,0.000769101043206733,0.00229055940198014,0.385957245018905,0.0858123360401577
"RF","Poorer_condition_lower_fitness",100,98,0.98,18,0.22,0.00213958080604539,0.00139218286106006,0.00182258100030171,0.37056895477411,0.155332598437943
"RF","Pain_in_neck",100,100,1,20.5,0.11,0.00192575110019656,0.000941066361271373,0.00183014221286303,0.346710936720771,0.104999341169533
"RF","Felt_worn_out",100,100,1,19,0.07,0.0018929850666344,0.000823260905147481,0.001865666264101,0.343055071334065,0.0918552146889373
"RF","Lump_swelling_or_obstruction_sensation",100,99,0.99,23,0.02,0.00146890892485744,0.000640492256032552,0.00149894191688421,0.295738838042991,0.0714628294828751
"RF","Swollen_tender_joints",100,99,0.99,27,0.06,0.00144249132166424,0.000888472492263568,0.00131803460035133,0.292791297843151,0.0991311879524575
"RF","Need_to_clear_throat",100,99,0.99,26,0,0.0013675754231624,0.000607920208942636,0.00134579284912875,0.284432567460748,0.0678286081083444
"RF","Pain_in_chest",100,96,0.96,26,0.02,0.00136024627610258,0.000803160359460179,0.00137823323777194,0.283614818953006,0.0896124992533718
"RF","Pain_comes_and_goes",100,98,0.98,33,0.05,0.00126246521821153,0.000897023786895139,0.00105032593029567,0.272704911766918,0.100085297396183
"RF","Feeling_of_uneasiness_difficult_to_describe",100,93,0.93,29,0,0.00119887541583092,0.000719657802909293,0.0012308457419429,0.265609888897282,0.0802957137591271
"RF","Felt_abnormally_unhealthily_tires",100,100,1,30,0,0.00117122231605002,0.00052279546801098,0.00115684089849095,0.262524498346964,0.05833082762985
