"model","Variable","n_total","n_pos_contr","freq_pos_contr","median_rank","freq_top10","mean_importance","sd_importance","median_importance","se","ci_lower","ci_upper"
"RF","Fever",100,80,0.8,3,0.73,0.0292318596491228,0.0261682483829707,0.0284912280701754,0.00261682483829707,0.0240395114456414,0.0344242078526043
"RF","Breathing_sound_whistling",100,69,0.69,9,0.52,0.012104350877193,0.0176603325124339,0.0128964912280702,0.00176603325124339,0.00860015776301059,0.0156085439913754
"RF","Irritating_cough",100,64,0.64,10,0.52,0.0114990877192983,0.0285777052711511,0.0130350877192983,0.00285777052711511,0.0058286509956524,0.0171695244429441
"RF","Felt_out_of_sorts",100,67,0.67,10,0.5,0.00989171929824563,0.0250892355627249,0.0115464912280702,0.00250892355627249,0.00491347064765528,0.014869967948836
"RF","Dryer_mouth",100,70,0.7,14,0.46,0.0098301754385965,0.026943673418007,0.0093315789473684,0.0026943673418007,0.00448396608519471,0.0151763847919983
"RF","Increased_need_for_sleep",100,62,0.62,13.5,0.45,0.00877075438596493,0.0210527190854921,0.00984210526315782,0.00210527190854921,0.00459343817732289,0.012948070594607
"RF","Mucus_cough",100,63,0.63,19.5,0.4,0.00595487719298247,0.0229169800377663,0.00503508771929825,0.00229169800377663,0.00140765116597213,0.0105021032199928
"RF","Pain_in_neck",100,59,0.59,24.5,0.3,0.00566835087719299,0.0139290015762093,0.0026491228070176,0.00139290015762093,0.00290453477257414,0.00843216698181184
"RF","Dry_cough",100,62,0.62,17,0.44,0.00539470175438598,0.0316033153348272,0.00952631578947371,0.00316033153348272,-0.00087608164698354,0.0116654851557555
"RF","Labored_breathing",100,56,0.56,30,0.28,0.00306505263157896,0.0142733372311493,0.00319298245614028,0.00142733372311493,0.00023291286260337,0.00589719240055456
"RF","Lump_swelling_or_obstruction_sensation",100,55,0.55,34,0.14,0.00269708771929825,0.00880726150603259,0.00103508771929823,0.000880726150603259,0.000949535961565811,0.00444463947703069
"RF","Gasp_for_air",100,49,0.49,30,0.18,0.00267384210526317,0.0089911355418362,0,0.00089911355418362,0.000889805749650921,0.00445787846087542
"RF","Rougher_voice",100,64,0.64,31,0.11,0.00208571929824562,0.00809683106813745,0.00151666666666664,0.000809683106813745,0.000479132352292634,0.00369230624419861
"RF","Pain_persists_worsens_when_breathing",100,53,0.53,33,0.06,0.00204400000000001,0.00584720964799604,0.000368421052631583,0.000584720964799604,0.000883786749696667,0.00320421325030335
"RF","Loss_of_appetite",100,55,0.55,26.5,0.29,0.00196061403508773,0.0169389153846689,0.00349122807017546,0.00169389153846689,-0.00140043426968706,0.00532166233986252
"RF","Lost_sense_of_smell",100,46,0.46,45,0.19,0.00167712280701755,0.013630574212136,0,0.0013630574212136,-0.00102747883414014,0.00438172444817524
"RF","Coughing_fits",100,62,0.62,30,0.15,0.00149812280701756,0.0109253675892761,0.00321315789473687,0.00109253675892761,-0.000669707150277893,0.00366595276431301
"RF","Changes_hard_to_describe",100,32,0.32,39,0.05,0.00120291228070176,0.00429530535707647,0,0.000429530535707647,0.000350630510526648,0.00205519405087687
"RF","Difficult_sensing_smells",100,56,0.56,31,0.16,0.000959035087719308,0.013645006338702,0.00168421052631579,0.0013645006338702,-0.00174843020045635,0.00366650037589497
"RF","Difficulty_suppressing_the_cough",100,43,0.43,39,0.06,0.000853684210526327,0.00574212318723729,0,0.000574212318723729,-0.000285677606095038,0.00199304602714769
"RF","Did_not_feel_well_rested",100,54,0.54,35.5,0.17,0.00081463157894738,0.0101837158742629,0.00201754385964916,0.00101837158742629,-0.00120603858783783,0.00283530174573259
"RF","Poorer_condition_lower_fitness",100,55,0.55,30.5,0.22,0.000730578947368435,0.0160491531800956,0.00233333333333336,0.00160491531800956,-0.00245392123248684,0.00391507912722371
"RF","Day_sweats_more_than_usual",100,34,0.34,42.5,0.01,0.00066135087719299,0.00645108047824041,0,0.000645108047824041,-0.000618683446904294,0.00194138520129027
"RF","Legs_do_not_support",100,52,0.52,31,0.09,0.000599473684210537,0.0100591947667396,0.000350000000000029,0.00100591947667396,-0.00139648879333688,0.00259543616175795
"RF","Pain_in_whole_body",100,30,0.3,42,0.01,0.000468350877192986,0.00282333597244247,0,0.000282333597244247,-9.18602324614209e-05,0.00102856198684739
"RF","Uneasiness_hard_to_describe",100,58,0.58,37,0.09,0.000461508771929831,0.00780576272680269,0.00038596491228072,0.000780576272680269,-0.0010873239003285,0.00201034144418816
"RF","Hacking_cough",100,34,0.34,40.5,0,0.000439964912280703,0.00277306545175443,0,0.000277306545175443,-0.000110271435442275,0.000990201260003682
"RF","Persistent_fatigue",100,53,0.53,34,0.2,0.000345105263157895,0.0112837156653066,0.000894736842105272,0.00112837156653066,-0.00189382872684036,0.00258403925315615
"RF","Felt_worn_out",100,54,0.54,34,0.28,0.000217298245614043,0.0174053160200835,0.00126929824561407,0.00174053160200835,-0.00323629406386279,0.00367089055509087
"RF","Hoarse_voice",100,56,0.56,27.5,0.33,0.000118456140350886,0.0204023599288866,0.00242105263157889,0.00204023599288866,-0.00392981470197553,0.0041667269826773
"RF","Wheezing_cough",100,6,0.06,43.5,0,6.24561403508772e-05,0.000455838993132352,0,4.55838993132352e-05,-2.79922053858524e-05,0.000152904486087607
"RF","Changes_hard_to_describe.1",100,9,0.09,44,0,1.62280701754388e-05,0.000128404951351929,0,1.28404951351929e-05,-9.25025793857381e-06,4.17063982894514e-05
"RF","Breathing_sound_jarred_raspy",100,4,0.04,43.5,0,8.4385964912284e-06,0.000122648614329621,0,1.22648614329621e-05,-1.58975494729134e-05,3.27747424553702e-05
"RF","Sweating_all_the_time",100,0,0,44,0,0,0,0,0,0,0
"RF","Unlike_other_coughs",100,10,0.1,44,0,-2.15789473684186e-06,0.000182183279762453,0,1.82183279762453e-05,-3.83070099368688e-05,3.39912204631851e-05
"RF","Pain_in_chest",100,58,0.58,36,0.11,-1.04385964912166e-05,0.0110522745565514,0.00108771929824562,0.00110522745565514,-0.00220344964936087,0.00218257245637844
"RF","Thickness_in_throat",100,55,0.55,35.5,0.1,-1.08245614034951e-05,0.00962743243168331,0.00157894736842108,0.000962743243168331,-0.00192111602452338,0.00189946690171639
"RF","Lumps_pieces_in_sputum",100,32,0.32,44,0.01,-9.76666666666654e-05,0.00352541073545454,0,0.000352541073545454,-0.000797184640926029,0.000601851307592698
"RF","Pain_reduces_improves_when_changing_body_position",100,27,0.27,44,0,-0.000103789473684209,0.00128679828732853,0,0.000128679828732853,-0.000359118171183172,0.000151539223814754
"RF","Breathing_sound_hissed",100,32,0.32,43,0.01,-0.000149473684210522,0.00373639562409381,0,0.000373639562409381,-0.000890855637726547,0.000591908269305502
"RF","Breathing_sound_squeaked_as_if_through_a_pipe",100,52,0.52,44,0.05,-0.00021005263157894,0.00597920675628773,0.000210526315789461,0.000597920675628773,-0.00139645697186555,0.000976351708707675
"RF","Breathing_sound_rattled_wheezed",100,46,0.46,45,0.05,-0.000210719298245604,0.00812986054226697,-0.000105263157894736,0.000812986054226697,-0.00182386000844557,0.00140242141195436
"RF","Cold_feet",100,44,0.44,43,0.02,-0.00022559649122806,0.00578371324318613,0,0.000578371324318612,-0.00137321067725254,0.000922017694796416
"RF","Voice_changes_difficult_to_describe",100,12,0.12,45,0,-0.00022921052631579,0.00106710340674123,0,0.000106710340674123,-0.000440946993190947,-1.74740594406323e-05
"RF","Sores_in_chest",100,19,0.19,44.5,0,-0.000234912280701752,0.00201272008071045,0,0.000201272008071045,-0.000634279610996157,0.000164455049592653
"RF","Pain_in_throat",100,26,0.26,43.5,0,-0.000241999999999998,0.00209143526887792,0,0.000209143526887792,-0.000656986131365325,0.000172986131365329
"RF","Pain_persists_worsens_changing_body_position",100,19,0.19,44.5,0,-0.00026891228070175,0.00219453773068593,0,0.000219453773068593,-0.000704356177314051,0.00016653161591055
"RF","Felt_abnormally_unhealthily_tires",100,51,0.51,40,0.02,-0.000279298245614027,0.00723205761108442,0.000192982456140361,0.000723205761108442,-0.00171429537629036,0.0011556988850623
"RF","Thin_mucus",100,22,0.22,44.5,0,-0.000315543859649124,0.00241830692862401,0,0.000241830692862401,-0.000795388419840589,0.000164300700542342
"RF","Early_satiety",100,45,0.45,45.5,0.01,-0.000328175438596482,0.00512173108884129,-0.000342105263157901,0.000512173108884129,-0.00134443800339109,0.000688087126198122
"RF","Breathing_sound_bubbled_gurgled",100,35,0.35,43,0,-0.000354894736842102,0.00305954742102189,0,0.000305954742102189,-0.000961975322539515,0.000252185848855311
"RF","Chills",100,49,0.49,39,0.03,-0.000372754385964908,0.00669125250260357,0,0.000669125250260357,-0.00170044405026601,0.000954935278336196
"RF","Pain_that_shifts_location",100,12,0.12,46.5,0,-0.000383912280701752,0.0011387506883669,0,0.00011387506883669,-0.000609865122650582,-0.000157959438752923
"RF","Stabbing_sensation_from_taking_deep_breaths",100,29,0.29,45,0,-0.000412298245614034,0.00198940577564428,0,0.000198940577564428,-0.000807039511975766,-1.75569792523032e-05
"RF","Feeling_of_discomfort_uneasiness_hard_to_describe",100,42,0.42,45,0.01,-0.000491684210526311,0.00316067360179863,0,0.000316067360179863,-0.00111883042443837,0.000135462003385743
"RF","Pain_radiated_between_shoulder_blades_to_chest",100,24,0.24,46,0,-0.00056677192982456,0.00201411877975537,0,0.000201411877975537,-0.000966416792354477,-0.000167127067294644
"RF","Panic_sensation",100,35,0.35,48,0.02,-0.000631771929824554,0.00448047017338823,0,0.000448047017338823,-0.00152079441673598,0.000257250557086873
"RF","Less_will_to_do_things",100,54,0.54,35.5,0.27,-0.000707596491228058,0.0190853700499837,0.00244561403508772,0.00190853700499837,-0.0044945479692758,0.00307935498681968
"RF","Headache",100,20,0.2,48.5,0,-0.000711263157894733,0.00210212423535491,0,0.000210212423535491,-0.00112837021210792,-0.000294156103681549
"RF","Food_drinks_tasted_different",100,47,0.47,45,0.01,-0.000736456140350878,0.00585843022453735,0,0.000585843022453735,-0.0018988957964722,0.000425983515770446
"RF","Dryer_skin",100,52,0.52,38.5,0.12,-0.00074150877192981,0.0104729135834204,8.50877192981936e-05,0.00104729135834204,-0.00281956203840206,0.00133654449454244
"RF","Hard_to_get_air",100,51,0.51,36,0.1,-0.000837368421052625,0.01306940754541,0.000226315789473647,0.001306940754541,-0.00343062242093202,0.00175588557882677
"RF","Lump_in_the_chest",100,20,0.2,45.5,0,-0.000873543859649121,0.0028856515951518,0,0.00028856515951518,-0.00144611974079638,-0.000300967978501863
"RF","More_sensitive_to_different_smells",100,37,0.37,46,0.04,-0.00099250877192982,0.00598659976169621,0,0.000598659976169621,-0.0021803800448819,0.000195362501022263
"RF","Difficulty_to_stay_awake",100,44,0.44,48,0,-0.00102875438596491,0.00512167604502019,0,0.000512167604502019,-0.00204500602887122,-1.25027430585964e-05
"RF","Feeling_of_choking",100,37,0.37,43,0.01,-0.0010367543859649,0.00559347627507301,0,0.000559347627507301,-0.00214662143029454,7.31126583647266e-05
"RF","Pain_comes_and_goes",100,43,0.43,54,0.13,-0.0010367894736842,0.0127117091255805,-0.00184210526315794,0.00127117091255805,-0.00355906834674545,0.00148548939937705
"RF","Thickness_in_throat.1",100,40,0.4,46,0.01,-0.00104342105263157,0.00608132842920371,0,0.000608132842920371,-0.00225008854837061,0.000163246443107469
"RF","Hard_to_catch_breath",100,32,0.32,49,0,-0.00104664912280701,0.00300471929625952,0,0.000300471929625952,-0.00164285061904671,-0.000450447626567316
"RF","Pain_in_shoulders",100,25,0.25,48.5,0,-0.00105614035087719,0.00311861317825883,0,0.000311861317825883,-0.00167494086425138,-0.000437339837502993
"RF","Do_not_enjoy_food",100,43,0.43,48,0.02,-0.0010828947368421,0.0069577752163336,-0.000769298245614041,0.00069577752163336,-0.00246346828979979,0.000297678816115601
"RF","More_down",100,43,0.43,52,0.04,-0.00125159649122807,0.0061291517379814,-0.000421052631578992,0.00061291517379814,-0.00246775316896287,-3.54398134932653e-05
"RF","Blood_mixed_phlegm_expectorates",100,49,0.49,37,0.06,-0.00133684210526316,0.0114831915737097,0,0.00114831915737097,-0.00361535644315007,0.000941672232623759
"RF","Thick_mucus",100,37,0.37,45,0,-0.00134535087719298,0.00533088007605274,0,0.000533088007605274,-0.00240311313857079,-0.000287588615815164
"RF","Heartburn",100,37,0.37,48,0.01,-0.00134756140350877,0.0042778831827744,-0.000140350877192975,0.00042778831827744,-0.00219638623632551,-0.00049873657069203
"RF","Feeling_chilly",100,39,0.39,47.5,0.13,-0.00136838596491228,0.0138625789135697,0,0.00138625789135697,-0.00411902237221322,0.00138225044238866
"RF","Feeling_that_something_is_wrong",100,28,0.28,46.5,0.01,-0.0014028596491228,0.00439794590182292,0,0.000439794590182292,-0.00227550753017851,-0.000530211768067098
"RF","Lost_my_voice",100,23,0.23,51.5,0,-0.00155042105263158,0.0037690640846871,-0.000105263157894737,0.00037690640846871,-0.00229828513747675,-0.000802556967786408
"RF","Changes_pitch_higher_lower",100,31,0.31,50,0,-0.00161307017543859,0.00493995691614423,-0.000105263157894739,0.000493995691614424,-0.00259326480075059,-0.000632875550126595
"RF","Thick_consistency",100,41,0.41,44.5,0,-0.00168266666666666,0.00992399483553913,0,0.000992399483553913,-0.00365180254467994,0.000286469211346619
"RF","Feeling_of_uneasiness_difficult_to_describe",100,43,0.43,46,0.08,-0.00170056140350877,0.0100097999270479,-0.000368421052631587,0.00100097999270479,-0.00368672287323246,0.000285600066214932
"RF","Pain_in_shoulder_blade",100,28,0.28,46.5,0.02,-0.00171633333333333,0.00586912603443494,0,0.000586912603443494,-0.00288089527018563,-0.000551771396481034
"RF","Swollen_tender_joints",100,55,0.55,30,0.16,-0.00175507017543859,0.0173220679302969,0.00100789473684216,0.00173220679302969,-0.00519214425782124,0.00168200390694407
"RF","Barking_cough",100,18,0.18,52,0,-0.00187333333333333,0.0043893610597682,0,0.00043893610597682,-0.00274427779547587,-0.00100238887119079
"RF","Night_sweats",100,44,0.44,48.5,0.09,-0.00199231578947368,0.00981770847098898,-0.00100000000000001,0.000981770847098898,-0.00394036214686067,-4.42694320866876e-05
"RF","Felt_tiredness_weakness_or_lack_of_energy_that_came_and_went",100,36,0.36,54,0,-0.00202503508771929,0.00687402064868618,-0.00145614035087712,0.000687402064868618,-0.00338898991738711,-0.000661080258051473
"RF","Trouble_swallowing",100,17,0.17,53,0,-0.00203335087719298,0.00461079978057902,0,0.000461079978057902,-0.00294823358569256,-0.00111846816869339
"RF","Slight_cough",100,40,0.4,44,0.01,-0.00214666666666666,0.00849462622560018,0,0.000849462622560018,-0.0038321848020893,-0.000461148531244021
"RF","Less_energy_to_do_things",100,47,0.47,49,0.08,-0.00217031578947368,0.0115521773755678,-0.0006140350877193,0.00115521773755678,-0.00446251840710714,0.00012188682815979
